Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2016,Quincy Acy,SAC,59.0,29.0,5.2,3.2,0.5,14.8,0.556,0.388,0.735,65.0,123.0,0.5,0.4,0.5,1.7
2016,Jordan Adams,MEM,2.0,0.0,3.5,1.0,1.5,7.5,0.333,0.0,0.6,0.0,2.0,1.5,0.0,1.0,1.0
2016,Steven Adams,OKC,80.0,80.0,8.0,6.7,0.8,25.2,0.613,0.0,0.582,219.0,314.0,0.5,1.1,1.0,2.8
2016,Arron Afflalo,NYK,71.0,57.0,12.8,3.7,2.0,33.4,0.443,0.382,0.84,23.0,243.0,0.4,0.1,1.2,2.0
2016,Alexis Ajinca,NOP,59.0,17.0,6.0,4.6,0.5,14.6,0.476,0.0,0.839,75.0,194.0,0.3,0.6,0.9,2.3
2016,Cole Aldrich,LAC,60.0,5.0,5.5,4.8,0.8,13.3,0.596,0.0,0.714,86.0,202.0,0.8,1.1,1.1,2.3
2016,LaMarcus Aldridge,SAS,74.0,74.0,18.0,8.5,1.5,30.6,0.513,0.0,0.858,176.0,456.0,0.5,1.1,1.3,2.0
2016,Cliff Alexander,POR,8.0,0.0,1.2,0.8,0.0,4.5,0.5,0.0,0.0,2.0,4.0,0.1,0.2,0.1,0.1
2016,Lavoy Allen,IND,79.0,28.0,5.4,5.4,1.0,20.2,0.516,0.0,0.63,162.0,262.0,0.3,0.5,0.9,1.9
2016,Tony Allen,MEM,64.0,57.0,8.4,4.6,1.1,25.3,0.458,0.357,0.652,104.0,192.0,1.7,0.3,1.2,2.7
2016,Al-Farouq Aminu,POR,82.0,82.0,10.2,6.1,1.7,28.5,0.416,0.361,0.737,98.0,401.0,0.9,0.6,1.5,2.1
2016,Lou Amundson,NYK,29.0,0.0,1.8,1.7,0.4,7.0,0.358,0.0,0.519,23.0,26.0,0.2,0.2,0.5,1.5
2016,Chris Andersen,TOT,27.0,15.0,3.9,3.6,0.4,14.9,0.528,0.286,0.694,36.0,62.0,0.6,0.5,0.3,1.1
2016,Chris Andersen,MIA,7.0,1.0,1.9,1.3,0.4,5.1,0.4,0.4,0.75,3.0,6.0,0.1,0.4,0.3,0.6
2016,Chris Andersen,MEM,20.0,14.0,4.6,4.4,0.4,18.3,0.548,0.222,0.688,33.0,56.0,0.7,0.5,0.4,1.2
2016,Alan Anderson,WAS,13.0,0.0,5.0,2.1,1.1,14.8,0.356,0.324,0.733,1.0,26.0,0.3,0.1,0.2,1.9
2016,James Anderson,SAC,51.0,15.0,3.5,1.7,0.8,14.1,0.376,0.267,0.759,13.0,73.0,0.4,0.3,0.8,1.1
2016,Justin Anderson,DAL,55.0,9.0,3.8,2.4,0.5,11.8,0.406,0.265,0.8,18.0,114.0,0.3,0.5,0.4,0.8
2016,Kyle Anderson,SAS,78.0,11.0,4.5,3.1,1.6,16.0,0.468,0.324,0.747,25.0,219.0,0.8,0.4,0.8,1.2
2016,Ryan Anderson,NOP,66.0,7.0,17.0,6.0,1.1,30.4,0.427,0.366,0.873,131.0,265.0,0.6,0.4,1.4,1.7
2016,Giannis Antetokounmpo,MIL,80.0,79.0,16.9,7.6,4.3,35.3,0.506,0.257,0.724,113.0,499.0,1.2,1.4,2.6,3.2
2016,Thanasis Antetokounmpo,NYK,2.0,0.0,3.0,0.5,0.0,3.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2016,Carmelo Anthony,NYK,72.0,72.0,21.8,7.7,4.2,35.1,0.434,0.339,0.829,98.0,458.0,0.9,0.5,2.4,2.5
2016,Joel Anthony,DET,19.0,0.0,0.9,1.1,0.1,5.1,0.6,0.0,0.75,8.0,13.0,0.1,0.6,0.1,0.8
2016,Keith Appling,ORL,5.0,0.0,1.2,0.2,0.2,5.4,0.25,0.0,1.0,0.0,1.0,0.2,0.0,0.6,1.0
2016,Trevor Ariza,HOU,81.0,81.0,12.7,4.5,2.3,35.3,0.416,0.371,0.783,67.0,299.0,2.0,0.3,1.4,2.2
2016,Darrell Arthur,DEN,70.0,16.0,7.5,4.2,1.4,21.7,0.452,0.385,0.755,86.0,207.0,0.8,0.7,0.9,2.6
2016,Omer Asik,NOP,68.0,64.0,4.0,6.1,0.4,17.3,0.533,0.0,0.545,120.0,294.0,0.3,0.3,0.9,1.8
2016,D.J. Augustin,TOT,62.0,0.0,7.5,1.5,3.2,19.0,0.423,0.405,0.805,8.0,87.0,0.6,0.1,1.4,1.4
2016,D.J. Augustin,OKC,34.0,0.0,4.2,1.3,1.9,15.3,0.38,0.393,0.765,5.0,38.0,0.4,0.1,0.9,1.2
2016,D.J. Augustin,DEN,28.0,0.0,11.6,1.9,4.7,23.5,0.445,0.411,0.819,3.0,49.0,0.9,0.1,1.9,1.6
2016,Jeff Ayres,LAC,17.0,0.0,1.8,1.3,0.3,6.3,0.522,0.0,1.0,4.0,18.0,0.0,0.2,0.4,1.1
2016,Luke Babbitt,NOP,47.0,13.0,7.0,3.1,1.1,18.0,0.422,0.404,0.78,25.0,123.0,0.2,0.1,0.5,1.9
2016,Cameron Bairstow,CHI,18.0,2.0,1.9,1.6,0.3,5.7,0.325,0.2,0.875,4.0,24.0,0.1,0.2,0.2,1.1
2016,Leandro Barbosa,GSW,68.0,0.0,6.4,1.7,1.2,15.9,0.462,0.355,0.839,28.0,89.0,0.6,0.1,0.8,1.6
2016,J.J. Barea,DAL,74.0,16.0,10.9,2.1,4.1,22.5,0.446,0.385,0.771,26.0,126.0,0.4,0.0,1.5,1.5
2016,Andrea Bargnani,BRK,46.0,0.0,6.6,2.1,0.4,13.8,0.455,0.188,0.825,28.0,69.0,0.1,0.2,0.6,1.3
2016,Harrison Barnes,GSW,66.0,59.0,11.7,4.9,1.8,30.9,0.466,0.383,0.761,77.0,248.0,0.6,0.2,0.9,2.1
2016,Matt Barnes,MEM,76.0,45.0,10.0,5.5,2.1,28.8,0.381,0.322,0.804,84.0,336.0,1.0,0.8,1.6,3.1
2016,Will Barton,DEN,82.0,1.0,14.4,5.8,2.5,28.7,0.432,0.345,0.806,59.0,417.0,0.9,0.5,1.7,1.8
2016,Brandon Bass,LAL,66.0,0.0,7.2,4.3,1.1,20.3,0.549,0.0,0.845,104.0,181.0,0.5,0.8,0.6,1.9
2016,Nicolas Batum,CHO,70.0,70.0,14.9,6.1,5.8,35.0,0.426,0.348,0.849,55.0,373.0,0.9,0.6,2.9,1.6
2016,Jerryd Bayless,MIL,52.0,18.0,10.4,2.7,3.1,28.9,0.423,0.437,0.778,21.0,120.0,0.9,0.2,1.4,2.1
2016,Aron Baynes,DET,81.0,1.0,6.3,4.7,0.6,15.2,0.505,0.0,0.764,140.0,244.0,0.3,0.6,0.8,1.9
2016,Kent Bazemore,ATL,75.0,68.0,11.6,5.1,2.3,27.8,0.441,0.357,0.815,28.0,351.0,1.3,0.5,1.8,2.3
2016,Bradley Beal,WAS,55.0,35.0,17.4,3.4,2.9,31.1,0.449,0.387,0.767,41.0,147.0,1.0,0.2,2.0,2.1
2016,Michael Beasley,HOU,20.0,0.0,12.8,4.9,0.8,18.2,0.522,0.333,0.776,29.0,69.0,0.6,0.4,1.2,2.0
2016,Marco Belinelli,SAC,68.0,7.0,10.2,1.7,1.9,24.6,0.386,0.306,0.833,10.0,107.0,0.5,0.0,1.2,1.3
2016,Anthony Bennett,TOR,19.0,0.0,1.5,1.2,0.0,4.4,0.296,0.214,0.9,6.0,17.0,0.3,0.0,0.2,0.4
2016,Patrick Beverley,HOU,71.0,63.0,9.9,3.5,3.4,28.7,0.434,0.4,0.682,73.0,177.0,1.3,0.4,1.3,3.3
2016,Bismack Biyombo,TOR,82.0,22.0,5.5,8.0,0.4,22.0,0.542,0.0,0.628,182.0,473.0,0.2,1.6,0.9,2.7
2016,Nemanja Bjelica,MIN,60.0,0.0,5.1,3.5,1.4,17.9,0.468,0.384,0.727,49.0,161.0,0.4,0.4,0.8,2.6
2016,Tarik Black,LAL,39.0,0.0,3.4,4.0,0.4,12.7,0.548,0.0,0.422,44.0,113.0,0.4,0.5,0.6,2.0
2016,DeJuan Blair,WAS,29.0,0.0,2.1,2.0,0.4,7.5,0.412,0.0,0.385,20.0,37.0,0.3,0.1,0.5,1.8
2016,Steve Blake,DET,58.0,2.0,4.4,1.5,3.4,17.0,0.388,0.344,0.8,9.0,80.0,0.4,0.1,1.4,1.2
2016,Eric Bledsoe,PHO,31.0,31.0,20.4,4.0,6.1,34.2,0.453,0.372,0.802,18.0,107.0,2.0,0.6,3.5,2.4
2016,Bojan Bogdanovic,BRK,79.0,39.0,11.2,3.2,1.3,26.8,0.433,0.382,0.833,36.0,219.0,0.4,0.1,1.5,1.5
2016,Andrew Bogut,GSW,70.0,66.0,5.4,7.0,2.3,20.7,0.627,1.0,0.48,121.0,371.0,0.5,1.6,1.2,3.2
2016,Matt Bonner,SAS,30.0,2.0,2.5,0.9,0.3,6.9,0.509,0.441,0.75,3.0,24.0,0.2,0.0,0.1,0.5
2016,Devin Booker,PHO,76.0,51.0,13.8,2.5,2.6,27.7,0.423,0.343,0.84,27.0,160.0,0.6,0.3,2.1,3.0
2016,Trevor Booker,UTA,79.0,2.0,5.9,5.7,1.1,20.7,0.49,0.293,0.67,166.0,286.0,0.7,0.5,1.0,2.1
2016,Chris Bosh,MIA,53.0,53.0,19.1,7.4,2.4,33.5,0.467,0.365,0.795,48.0,342.0,0.7,0.6,1.5,1.9
2016,Avery Bradley,BOS,76.0,72.0,15.2,2.9,2.1,33.4,0.447,0.361,0.78,48.0,172.0,1.5,0.2,1.4,2.2
2016,Elton Brand,PHI,17.0,1.0,4.1,3.7,1.1,13.2,0.431,0.0,0.889,9.0,54.0,0.5,0.5,0.6,1.9
2016,Corey Brewer,HOU,82.0,12.0,7.2,2.4,1.3,20.4,0.384,0.272,0.75,42.0,157.0,1.0,0.2,1.0,2.0
2016,Aaron Brooks,CHI,69.0,0.0,7.1,1.5,2.6,16.1,0.401,0.357,0.766,21.0,80.0,0.4,0.1,1.2,1.9
