Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2017,Alex Abrines,OKC,68.0,6.0,6.0,1.3,0.6,15.5,0.393,0.381,0.898,18.0,68.0,0.5,0.1,0.5,1.7
2017,Quincy Acy,TOT,38.0,1.0,5.8,3.0,0.5,14.7,0.412,0.411,0.75,20.0,95.0,0.4,0.4,0.6,1.8
2017,Quincy Acy,DAL,6.0,0.0,2.2,1.3,0.0,8.0,0.294,0.143,0.667,2.0,6.0,0.0,0.0,0.3,1.5
2017,Quincy Acy,BRK,32.0,1.0,6.5,3.3,0.6,15.9,0.425,0.434,0.754,18.0,89.0,0.4,0.5,0.6,1.8
2017,Steven Adams,OKC,80.0,80.0,11.3,7.7,1.1,29.9,0.571,0.0,0.611,282.0,333.0,1.1,1.0,1.8,2.4
2017,Arron Afflalo,SAC,61.0,45.0,8.4,2.0,1.3,25.9,0.44,0.411,0.892,9.0,116.0,0.3,0.1,0.7,1.7
2017,Alexis Ajinca,NOP,39.0,15.0,5.3,4.5,0.3,15.0,0.5,0.0,0.725,46.0,131.0,0.5,0.6,0.8,2.0
2017,Cole Aldrich,MIN,62.0,0.0,1.7,2.5,0.4,8.6,0.523,0.0,0.682,51.0,107.0,0.4,0.4,0.3,1.4
2017,LaMarcus Aldridge,SAS,72.0,72.0,17.3,7.3,1.9,32.4,0.477,0.411,0.812,174.0,350.0,0.6,1.2,1.4,2.2
2017,Lavoy Allen,IND,61.0,5.0,2.9,3.6,0.9,14.3,0.458,0.0,0.697,105.0,115.0,0.3,0.4,0.5,1.3
2017,Tony Allen,MEM,71.0,66.0,9.1,5.5,1.4,27.0,0.461,0.278,0.615,166.0,225.0,1.6,0.4,1.4,2.5
2017,Al-Farouq Aminu,POR,61.0,25.0,8.7,7.4,1.6,29.1,0.393,0.33,0.706,77.0,374.0,1.0,0.7,1.5,1.7
2017,Chris Andersen,CLE,12.0,0.0,2.3,2.6,0.4,9.5,0.409,0.0,0.714,9.0,22.0,0.4,0.6,0.4,1.7
2017,Alan Anderson,LAC,30.0,0.0,2.9,0.8,0.4,10.3,0.375,0.318,0.75,3.0,21.0,0.1,0.0,0.2,1.2
2017,Justin Anderson,TOT,75.0,10.0,7.1,3.3,0.9,16.4,0.424,0.299,0.791,69.0,176.0,0.5,0.3,0.9,1.5
2017,Justin Anderson,DAL,51.0,2.0,6.5,2.9,0.6,13.9,0.401,0.303,0.795,39.0,110.0,0.5,0.3,0.8,1.3
2017,Justin Anderson,PHI,24.0,8.0,8.5,4.0,1.4,21.6,0.463,0.292,0.78,30.0,66.0,0.5,0.3,1.1,1.9
2017,Kyle Anderson,SAS,72.0,14.0,3.4,2.9,1.3,14.2,0.445,0.375,0.789,33.0,175.0,0.7,0.4,0.5,0.9
2017,Ryan Anderson,HOU,72.0,72.0,13.6,4.6,0.9,29.4,0.418,0.403,0.86,112.0,218.0,0.4,0.2,0.8,2.0
2017,Giannis Antetokounmpo,MIL,80.0,80.0,22.9,8.8,5.4,35.6,0.521,0.272,0.77,142.0,558.0,1.6,1.9,2.9,3.1
2017,Carmelo Anthony,NYK,74.0,74.0,22.4,5.9,2.9,34.3,0.433,0.359,0.833,62.0,374.0,0.8,0.5,2.1,2.7
2017,Joel Anthony,SAS,19.0,0.0,1.3,1.6,0.2,6.4,0.625,0.0,0.625,8.0,23.0,0.1,0.3,0.2,0.6
2017,Trevor Ariza,HOU,80.0,80.0,11.7,5.7,2.2,34.7,0.409,0.344,0.738,54.0,405.0,1.8,0.2,0.9,1.7
2017,Darrell Arthur,DEN,41.0,7.0,6.4,2.7,1.0,15.6,0.442,0.453,0.864,25.0,87.0,0.5,0.5,0.9,1.9
2017,Omer Asik,NOP,31.0,19.0,2.7,5.3,0.5,15.5,0.477,0.0,0.59,48.0,115.0,0.2,0.3,0.5,1.6
2017,D.J. Augustin,ORL,78.0,20.0,7.9,1.5,2.7,19.7,0.377,0.347,0.814,15.0,102.0,0.4,0.0,1.2,1.3
2017,Luke Babbitt,MIA,68.0,55.0,4.8,2.1,0.5,15.7,0.402,0.414,0.733,13.0,129.0,0.3,0.2,0.4,1.7
2017,Ron Baker,NYK,52.0,13.0,4.1,1.9,2.1,16.5,0.378,0.267,0.651,12.0,86.0,0.7,0.2,1.1,1.4
2017,Wade Baldwin,MEM,33.0,1.0,3.2,1.4,1.8,12.3,0.313,0.136,0.838,11.0,35.0,0.5,0.2,1.2,1.2
2017,Leandro Barbosa,PHO,67.0,0.0,6.3,1.6,1.2,14.4,0.439,0.357,0.889,15.0,89.0,0.5,0.1,0.7,1.2
2017,J.J. Barea,DAL,35.0,6.0,10.9,2.4,5.5,22.0,0.414,0.358,0.863,9.0,75.0,0.4,0.0,1.8,0.9
2017,Harrison Barnes,DAL,79.0,79.0,19.2,5.0,1.5,35.5,0.468,0.351,0.861,94.0,303.0,0.8,0.2,1.3,1.6
2017,Matt Barnes,TOT,74.0,18.0,7.1,5.2,2.6,24.0,0.391,0.331,0.787,70.0,317.0,0.6,0.4,1.4,2.5
2017,Matt Barnes,SAC,54.0,13.0,7.6,5.5,2.8,25.3,0.384,0.327,0.758,55.0,241.0,0.7,0.3,1.5,2.6
2017,Matt Barnes,GSW,20.0,5.0,5.7,4.6,2.2,20.5,0.422,0.346,0.87,15.0,76.0,0.6,0.4,1.2,2.4
2017,Will Barton,DEN,60.0,19.0,13.7,4.3,3.4,28.4,0.443,0.37,0.753,58.0,200.0,0.8,0.5,1.6,1.8
2017,Brandon Bass,LAC,52.0,0.0,5.6,2.5,0.4,11.1,0.575,0.333,0.875,43.0,86.0,0.3,0.2,0.6,0.9
2017,Nicolas Batum,CHO,77.0,77.0,15.1,6.2,5.9,34.0,0.403,0.333,0.856,46.0,435.0,1.1,0.4,2.5,1.4
2017,Jerryd Bayless,PHI,3.0,1.0,11.0,4.0,4.3,23.7,0.344,0.4,0.9,3.0,9.0,0.0,0.0,3.0,1.3
2017,Aron Baynes,DET,75.0,2.0,4.9,4.4,0.4,15.5,0.513,0.0,0.84,111.0,222.0,0.2,0.5,0.7,2.2
2017,Kent Bazemore,ATL,73.0,64.0,11.0,3.2,2.4,26.9,0.409,0.346,0.708,45.0,186.0,1.2,0.7,1.7,2.3
2017,Bradley Beal,WAS,77.0,77.0,23.1,3.1,3.5,34.9,0.482,0.404,0.825,53.0,186.0,1.1,0.3,2.0,2.2
2017,Malik Beasley,DEN,22.0,1.0,3.8,0.8,0.5,7.5,0.452,0.321,0.8,5.0,12.0,0.3,0.0,0.4,0.5
2017,Michael Beasley,MIL,56.0,6.0,9.4,3.4,0.9,16.7,0.532,0.419,0.743,40.0,153.0,0.5,0.5,1.2,1.6
2017,Marco Belinelli,CHO,74.0,0.0,10.5,2.4,2.0,24.0,0.429,0.36,0.893,14.0,164.0,0.6,0.1,0.9,1.2
2017,DeAndre' Bembry,ATL,38.0,1.0,2.7,1.6,0.7,9.8,0.48,0.056,0.375,14.0,45.0,0.2,0.1,0.4,0.6
2017,Dragan Bender,PHO,43.0,0.0,3.4,2.4,0.5,13.3,0.354,0.277,0.364,23.0,80.0,0.2,0.5,0.7,1.7
2017,Anthony Bennett,BRK,23.0,1.0,5.0,3.4,0.5,11.5,0.413,0.271,0.722,25.0,53.0,0.2,0.1,0.5,0.8
2017,Ben Bentil,DAL,3.0,0.0,0.0,0.7,0.0,3.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3,0.3
2017,Davis Bertans,SAS,67.0,6.0,4.5,1.5,0.7,12.1,0.44,0.399,0.824,22.0,77.0,0.3,0.4,0.5,1.1
