Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
1995,Alaa Abdelnaby,TOT,54.0,0.0,4.7,2.1,0.2,9.4,0.511,0.0,0.571,37.0,77.0,0.3,0.2,0.8,1.9
1995,Alaa Abdelnaby,SAC,51.0,0.0,5.0,2.1,0.3,9.3,0.532,0.0,0.571,34.0,72.0,0.3,0.2,0.8,2.0
1995,Alaa Abdelnaby,PHI,3.0,0.0,0.7,2.7,0.0,10.0,0.091,0.0,0.0,3.0,5.0,0.0,0.0,1.7,0.7
1995,Mahmoud Abdul-Rauf,DEN,73.0,43.0,16.0,1.9,3.6,28.5,0.47,0.386,0.885,32.0,105.0,1.1,0.1,1.6,1.7
1995,Michael Adams,CHH,29.0,0.0,6.5,1.0,3.3,15.3,0.453,0.358,0.833,6.0,23.0,0.8,0.0,0.9,1.4
1995,Rafael Addison,DET,79.0,16.0,8.3,3.1,1.4,22.5,0.476,0.289,0.747,67.0,175.0,0.7,0.3,1.0,3.0
1995,Danny Ainge,PHO,74.0,1.0,7.7,1.5,2.8,18.6,0.46,0.364,0.808,25.0,84.0,0.6,0.1,1.1,2.1
1995,Victor Alexander,GSW,50.0,29.0,10.0,5.8,1.2,24.7,0.515,0.24,0.6,87.0,204.0,0.6,0.6,1.5,2.9
1995,Derrick Alston,PHI,64.0,1.0,4.7,3.4,0.5,16.1,0.465,0.0,0.492,98.0,121.0,0.6,0.5,0.8,1.7
1995,Greg Anderson,ATL,51.0,0.0,2.9,3.7,0.3,12.2,0.548,0.0,0.479,62.0,126.0,0.5,0.6,0.6,2.0
1995,Kenny Anderson,NJN,72.0,70.0,17.6,3.5,9.4,37.3,0.399,0.33,0.841,73.0,177.0,1.4,0.2,3.1,2.6
1995,Nick Anderson,ORL,76.0,76.0,15.8,4.4,4.1,34.1,0.476,0.415,0.704,85.0,250.0,1.6,0.3,1.9,1.6
1995,Willie Anderson,SAS,38.0,11.0,4.9,1.4,1.4,14.6,0.469,0.158,0.732,15.0,40.0,0.7,0.3,1.0,1.9
1995,Greg Anthony,NYK,61.0,2.0,6.1,1.0,2.6,15.5,0.437,0.361,0.789,7.0,57.0,0.8,0.1,0.9,1.6
1995,B.J. Armstrong,CHI,82.0,82.0,14.0,2.3,3.0,31.4,0.468,0.427,0.884,25.0,161.0,1.0,0.1,1.3,1.9
1995,Darrell Armstrong,ORL,3.0,0.0,3.3,0.3,1.0,2.7,0.375,0.333,1.0,1.0,0.0,0.3,0.0,0.3,1.0
1995,Vincent Askew,SEA,71.0,1.0,9.9,2.5,2.5,24.2,0.492,0.33,0.739,65.0,116.0,0.7,0.2,1.2,2.7
1995,Keith Askins,MIA,50.0,5.0,4.6,4.0,0.8,17.1,0.391,0.269,0.807,86.0,112.0,0.7,0.3,0.5,2.2
1995,Stacey Augmon,ATL,76.0,76.0,13.9,4.8,2.6,31.1,0.453,0.269,0.728,157.0,211.0,1.3,0.6,2.0,2.1
1995,Anthony Avent,ORL,71.0,3.0,3.6,4.1,0.6,15.0,0.43,0.0,0.64,97.0,196.0,0.4,0.7,0.7,2.4
