Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
1998,Mahmoud Abdul-Rauf,SAC,31.0,0.0,7.3,1.2,1.9,17.1,0.377,0.161,1.0,6.0,31.0,0.5,0.0,0.6,1.0
1998,Tariq Abdul-Wahad,SAC,59.0,16.0,6.4,2.0,0.9,16.3,0.403,0.211,0.672,44.0,72.0,0.6,0.2,1.1,1.4
1998,Shareef Abdur-Rahim,VAN,82.0,82.0,22.3,7.1,2.6,36.0,0.485,0.412,0.784,227.0,354.0,1.1,0.9,3.1,2.5
1998,Cory Alexander,TOT,60.0,22.0,8.1,2.4,3.5,21.6,0.428,0.375,0.784,17.0,129.0,1.2,0.2,1.9,1.6
1998,Cory Alexander,SAS,37.0,3.0,4.5,1.3,1.9,13.5,0.414,0.313,0.676,7.0,40.0,0.7,0.1,1.3,1.4
1998,Cory Alexander,DEN,23.0,19.0,14.0,4.3,6.0,34.7,0.435,0.411,0.846,10.0,89.0,2.0,0.3,2.8,2.0
1998,Ray Allen,MIL,82.0,82.0,19.5,4.9,4.3,40.1,0.428,0.364,0.875,127.0,278.0,1.4,0.1,3.2,3.0
1998,Derek Anderson,CLE,66.0,13.0,11.7,2.8,3.4,27.9,0.408,0.202,0.873,55.0,132.0,1.3,0.2,1.9,2.1
1998,Greg Anderson,ATL,50.0,0.0,1.8,2.4,0.3,8.0,0.444,0.0,0.39,39.0,79.0,0.4,0.2,0.3,1.7
1998,Kenny Anderson,TOT,61.0,56.0,12.2,2.8,5.7,30.5,0.398,0.356,0.789,39.0,134.0,1.4,0.0,2.3,2.2
1998,Kenny Anderson,POR,45.0,40.0,12.6,3.0,5.4,32.7,0.387,0.353,0.772,36.0,98.0,1.4,0.0,2.5,2.2
1998,Kenny Anderson,BOS,16.0,16.0,11.2,2.4,6.2,24.1,0.435,0.37,0.837,3.0,36.0,1.6,0.0,1.8,2.2
1998,Nick Anderson,ORL,58.0,44.0,15.3,5.1,2.1,29.3,0.455,0.36,0.638,98.0,199.0,1.2,0.4,1.5,1.7
1998,Shandon Anderson,UTA,82.0,2.0,8.3,2.8,1.1,19.5,0.538,0.219,0.735,86.0,141.0,0.8,0.2,1.1,1.8
1998,Chris Anstey,DAL,41.0,8.0,5.9,3.8,0.9,16.6,0.398,0.188,0.716,53.0,104.0,0.8,0.7,1.0,2.3
1998,Greg Anthony,SEA,80.0,0.0,5.2,1.4,2.6,12.8,0.43,0.415,0.663,18.0,93.0,0.8,0.0,1.1,1.2
