Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2013,Quincy Acy,TOR,29.0,0.0,4.0,2.7,0.4,11.8,0.56,0.5,0.816,30.0,47.0,0.4,0.5,0.6,1.8
2013,Jeff Adrien,CHA,52.0,5.0,4.0,3.8,0.7,13.7,0.429,0.0,0.65,68.0,128.0,0.3,0.5,0.6,1.5
2013,Arron Afflalo,ORL,64.0,64.0,16.5,3.7,3.2,36.0,0.439,0.3,0.857,29.0,210.0,0.6,0.2,2.2,2.1
2013,Josh Akognon,DAL,3.0,0.0,1.7,0.3,0.3,3.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2013,Cole Aldrich,TOT,45.0,0.0,2.2,2.7,0.2,8.6,0.55,0.0,0.6,30.0,90.0,0.1,0.5,0.5,1.3
2013,Cole Aldrich,HOU,30.0,0.0,1.7,1.9,0.2,7.1,0.535,0.0,0.444,12.0,45.0,0.1,0.3,0.5,1.4
2013,Cole Aldrich,SAC,15.0,0.0,3.3,4.2,0.2,11.7,0.568,0.0,0.727,18.0,45.0,0.1,0.9,0.6,1.3
2013,LaMarcus Aldridge,POR,74.0,74.0,21.1,9.1,2.6,37.7,0.484,0.143,0.81,175.0,495.0,0.8,1.2,1.9,2.5
2013,Lavoy Allen,PHI,79.0,37.0,5.8,5.0,0.9,21.1,0.454,0.0,0.717,159.0,236.0,0.3,0.7,0.7,2.3
2013,Ray Allen,MIA,79.0,0.0,10.9,2.7,1.7,25.8,0.449,0.419,0.886,40.0,177.0,0.8,0.2,1.3,1.6
2013,Tony Allen,MEM,79.0,79.0,8.9,4.6,1.2,26.7,0.445,0.125,0.717,121.0,242.0,1.5,0.6,1.2,2.7
2013,Al-Farouq Aminu,NOH,76.0,71.0,7.3,7.7,1.4,27.2,0.475,0.211,0.737,139.0,446.0,1.2,0.7,1.5,2.0
2013,Lou Amundson,TOT,39.0,0.0,1.9,2.7,0.3,9.5,0.395,0.0,0.333,48.0,58.0,0.4,0.3,0.5,1.4
2013,Lou Amundson,MIN,20.0,0.0,1.6,2.4,0.2,8.0,0.368,0.0,0.2,23.0,24.0,0.4,0.3,0.6,1.3
2013,Lou Amundson,CHI,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2013,Lou Amundson,NOH,18.0,0.0,2.4,3.2,0.4,11.6,0.429,0.0,0.5,24.0,34.0,0.5,0.3,0.4,1.5
2013,Chris Andersen,MIA,42.0,0.0,4.9,4.1,0.4,14.9,0.577,0.667,0.677,57.0,115.0,0.4,1.0,0.6,2.1
2013,Alan Anderson,TOR,65.0,2.0,10.7,2.3,1.6,23.0,0.383,0.333,0.857,34.0,114.0,0.7,0.1,1.2,2.0
2013,James Anderson,TOT,39.0,2.0,3.8,1.8,1.1,10.3,0.413,0.35,0.857,18.0,54.0,0.4,0.1,0.6,0.6
2013,James Anderson,SAS,10.0,0.0,3.4,1.4,0.9,9.4,0.44,0.455,0.778,3.0,11.0,0.3,0.2,0.7,0.7
2013,James Anderson,HOU,29.0,2.0,4.0,2.0,1.1,10.6,0.406,0.327,0.895,15.0,43.0,0.4,0.1,0.6,0.6
2013,Ryan Anderson,NOH,81.0,22.0,16.2,6.4,1.2,30.9,0.423,0.382,0.844,191.0,328.0,0.5,0.4,1.2,2.2
2013,Carmelo Anthony,NYK,67.0,67.0,28.7,6.9,2.6,37.0,0.449,0.379,0.83,134.0,326.0,0.8,0.5,2.6,3.1
2013,Joel Anthony,MIA,62.0,3.0,1.4,1.9,0.2,9.1,0.515,0.0,0.607,45.0,70.0,0.2,0.7,0.4,0.8
2013,Trevor Ariza,WAS,56.0,15.0,9.5,4.8,2.0,26.3,0.417,0.364,0.821,44.0,222.0,1.3,0.4,1.5,1.3
2013,Darrell Arthur,MEM,59.0,3.0,6.1,2.9,0.6,16.4,0.451,0.278,0.717,68.0,101.0,0.4,0.6,0.7,2.1
2013,Omer Asik,HOU,82.0,82.0,10.1,11.7,0.9,30.0,0.541,0.0,0.562,275.0,681.0,0.6,1.1,2.1,2.7
2013,D.J. Augustin,IND,76.0,5.0,4.7,1.2,2.2,16.1,0.35,0.353,0.838,20.0,71.0,0.4,0.0,0.9,0.8
2013,Gustavo Ayon,TOT,55.0,3.0,3.7,3.6,1.3,13.3,0.551,0.0,0.4,60.0,139.0,0.4,0.3,0.9,1.9
2013,Gustavo Ayon,ORL,43.0,3.0,3.6,3.3,1.4,13.3,0.536,0.0,0.5,40.0,100.0,0.3,0.3,0.9,1.9
