Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
1992,Alaa Abdelnaby,POR,71.0,1.0,6.1,3.7,0.4,13.2,0.493,0.0,0.752,81.0,179.0,0.4,0.2,0.9,1.9
1992,Mahmoud Abdul-Rauf,DEN,81.0,11.0,10.3,1.4,2.4,19.0,0.421,0.33,0.87,22.0,92.0,0.5,0.0,1.4,1.6
1992,Mark Acres,ORL,68.0,6.0,3.1,3.7,0.3,13.6,0.517,0.333,0.761,97.0,155.0,0.4,0.2,0.5,2.1
1992,Michael Adams,WSB,78.0,78.0,18.1,4.0,7.6,35.8,0.393,0.324,0.869,58.0,252.0,1.9,0.1,2.7,2.1
1992,Rafael Addison,NJN,76.0,8.0,5.8,2.2,0.9,15.5,0.433,0.286,0.737,65.0,100.0,0.4,0.4,0.6,1.4
1992,Mark Aguirre,DET,75.0,12.0,11.3,3.1,1.7,21.1,0.431,0.211,0.687,67.0,169.0,0.7,0.1,1.4,2.3
1992,Danny Ainge,POR,81.0,6.0,9.7,1.8,2.5,19.7,0.442,0.339,0.824,40.0,108.0,0.9,0.2,0.9,1.8
1992,Victor Alexander,GSW,80.0,28.0,7.4,4.2,0.4,16.9,0.529,0.0,0.691,106.0,230.0,0.6,0.8,1.1,2.2
1992,Greg Anderson,DEN,82.0,82.0,11.5,11.5,1.0,34.1,0.456,0.0,0.623,337.0,604.0,1.1,0.8,2.5,3.2
1992,Kenny Anderson,NJN,64.0,13.0,7.0,2.0,3.2,17.0,0.39,0.231,0.745,38.0,89.0,1.0,0.1,1.5,1.1
1992,Nick Anderson,ORL,60.0,59.0,19.9,6.4,2.7,36.7,0.463,0.353,0.667,98.0,286.0,1.6,0.6,2.1,2.2
1992,Ron Anderson,PHI,82.0,11.0,13.7,3.4,1.6,29.7,0.465,0.331,0.877,96.0,182.0,1.0,0.1,1.3,1.6
1992,Willie Anderson,SAS,57.0,55.0,13.1,5.3,5.3,33.1,0.455,0.232,0.775,62.0,238.0,0.9,0.9,2.5,2.6
1992,Michael Ansley,TOT,10.0,0.0,2.1,0.6,0.2,4.5,0.444,0.0,0.833,2.0,4.0,0.0,0.0,0.3,0.7
1992,Michael Ansley,PHI,8.0,0.0,1.9,0.5,0.2,4.0,0.455,0.0,0.833,2.0,2.0,0.0,0.0,0.4,0.8
1992,Michael Ansley,CHH,2.0,0.0,3.0,1.0,0.0,6.5,0.429,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5
1992,Greg Anthony,NYK,82.0,1.0,5.5,1.7,3.8,18.4,0.37,0.145,0.741,33.0,103.0,0.7,0.1,1.2,2.1
1992,B.J. Armstrong,CHI,82.0,3.0,9.9,1.8,3.2,22.9,0.481,0.402,0.806,19.0,126.0,0.6,0.1,1.1,1.1
1992,Vincent Askew,GSW,80.0,10.0,6.2,2.9,2.4,18.7,0.509,0.1,0.694,89.0,144.0,0.6,0.3,1.0,1.6
1992,Keith Askins,MIA,59.0,4.0,3.7,2.4,0.6,14.3,0.41,0.342,0.703,65.0,77.0,0.7,0.3,0.8,1.8
1992,Stacey Augmon,ATL,82.0,82.0,13.3,5.1,2.5,30.5,0.489,0.167,0.666,191.0,229.0,1.5,0.3,2.2,2.0
1992,Isaac Austin,UTA,31.0,0.0,2.0,1.1,0.2,3.6,0.457,0.0,0.633,11.0,24.0,0.1,0.1,0.3,0.6
1992,Milos Babic,MIA,9.0,0.0,2.0,1.2,0.7,3.9,0.462,0.0,0.75,2.0,9.0,0.1,0.0,0.6,0.0
1992,John Bagley,BOS,73.0,59.0,7.2,2.2,6.6,23.9,0.441,0.238,0.716,38.0,123.0,0.8,0.1,2.0,1.7
1992,Thurl Bailey,TOT,84.0,18.0,11.3,5.8,0.9,25.0,0.44,0.0,0.796,122.0,363.0,0.4,1.4,1.3,1.9
1992,Thurl Bailey,UTA,13.0,0.0,9.4,6.0,1.5,25.2,0.386,0.0,0.8,23.0,55.0,0.4,1.2,1.6,2.4
1992,Thurl Bailey,MIN,71.0,18.0,11.7,5.7,0.8,25.0,0.448,0.0,0.795,99.0,308.0,0.4,1.4,1.2,1.8
1992,Steve Bardo,SAS,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1992,Charles Barkley,PHI,75.0,75.0,23.1,11.1,4.1,38.4,0.552,0.234,0.695,271.0,559.0,1.8,0.6,3.1,2.6
1992,Dana Barros,SEA,75.0,1.0,8.3,1.1,1.7,17.7,0.483,0.446,0.759,17.0,64.0,0.7,0.1,0.7,1.1
1992,John Battle,CLE,76.0,2.0,10.2,1.5,2.1,21.5,0.48,0.118,0.848,19.0,93.0,0.5,0.1,1.2,1.5
1992,Kenny Battle,TOT,16.0,0.0,2.0,1.0,0.2,5.8,0.647,0.0,0.833,4.0,12.0,0.1,0.1,0.2,0.6
