Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2008,Shareef Abdur-Rahim,SAC,6.0,0.0,1.7,1.7,0.7,8.5,0.214,0.0,1.0,6.0,4.0,0.2,0.0,0.2,1.5
2008,Arron Afflalo,DET,75.0,9.0,3.7,1.8,0.7,12.9,0.411,0.208,0.782,36.0,101.0,0.4,0.1,0.5,1.1
2008,Maurice Ager,TOT,26.0,3.0,2.0,0.5,0.3,6.3,0.323,0.158,0.5,4.0,9.0,0.0,0.0,0.2,0.7
2008,Maurice Ager,DAL,12.0,3.0,1.2,0.3,0.3,6.4,0.185,0.0,0.833,1.0,3.0,0.0,0.1,0.2,0.9
2008,Maurice Ager,NJN,14.0,0.0,2.6,0.6,0.3,6.3,0.421,0.273,0.167,3.0,6.0,0.0,0.0,0.2,0.4
2008,Blake Ahearn,MIA,12.0,0.0,5.8,1.6,1.6,14.8,0.263,0.294,0.968,1.0,18.0,0.5,0.0,1.3,1.7
2008,LaMarcus Aldridge,POR,76.0,76.0,17.8,7.6,1.6,34.9,0.484,0.143,0.762,220.0,358.0,0.7,1.2,1.7,3.2
2008,Malik Allen,TOT,73.0,16.0,4.6,2.7,0.6,15.0,0.48,0.5,0.92,66.0,130.0,0.3,0.4,0.6,2.0
2008,Malik Allen,NJN,48.0,12.0,5.4,2.7,0.6,15.9,0.475,0.5,0.923,42.0,86.0,0.3,0.4,0.7,1.9
2008,Malik Allen,DAL,25.0,4.0,3.1,2.7,0.6,13.3,0.5,0.0,0.917,24.0,44.0,0.2,0.4,0.5,2.4
2008,Ray Allen,BOS,73.0,73.0,17.4,3.7,3.1,35.9,0.445,0.398,0.907,75.0,193.0,0.9,0.2,1.7,2.0
2008,Tony Allen,BOS,75.0,11.0,6.6,2.2,1.5,18.3,0.434,0.316,0.762,34.0,134.0,0.8,0.3,1.5,2.2
2008,Lance Allred,CLE,3.0,0.0,1.0,0.3,0.0,3.3,0.25,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.3
2008,Morris Almond,UTA,9.0,0.0,1.4,0.2,0.3,4.3,0.267,0.25,0.667,0.0,2.0,0.1,0.0,0.2,0.6
2008,Rafer Alston,HOU,74.0,74.0,13.1,3.5,5.3,34.1,0.394,0.351,0.715,28.0,232.0,1.3,0.2,2.2,1.9
2008,Lou Amundson,PHI,16.0,0.0,1.1,0.8,0.0,4.0,0.5,0.0,0.286,7.0,5.0,0.1,0.1,0.1,0.8
2008,Chris Andersen,NOH,5.0,0.0,1.2,1.8,0.0,6.8,0.286,0.0,0.5,2.0,7.0,0.0,0.8,0.2,1.2
2008,Derek Anderson,CHA,28.0,0.0,5.0,1.9,1.6,14.1,0.376,0.365,0.737,9.0,43.0,0.4,0.0,0.9,1.8
2008,Carmelo Anthony,DEN,77.0,77.0,25.7,7.4,3.4,36.4,0.492,0.354,0.786,178.0,393.0,1.3,0.5,3.3,3.3
2008,Joel Anthony,MIA,24.0,1.0,3.5,3.9,0.1,20.8,0.467,0.0,0.592,38.0,55.0,0.4,1.3,0.7,2.3
2008,Gilbert Arenas,WAS,13.0,8.0,19.4,3.9,5.1,32.7,0.398,0.282,0.771,6.0,45.0,1.8,0.1,3.8,2.3
2008,Trevor Ariza,TOT,35.0,3.0,5.5,3.1,1.3,15.6,0.507,0.278,0.653,30.0,78.0,0.9,0.3,0.7,1.3
2008,Trevor Ariza,ORL,11.0,0.0,3.3,2.2,0.7,10.5,0.452,0.0,0.533,5.0,19.0,0.5,0.3,0.5,0.8
2008,Trevor Ariza,LAL,24.0,3.0,6.5,3.5,1.5,18.0,0.524,0.333,0.683,25.0,59.0,1.1,0.3,0.8,1.5
2008,Darrell Armstrong,NJN,50.0,2.0,2.5,1.3,1.5,11.0,0.364,0.333,0.667,17.0,50.0,0.6,0.0,0.8,1.1
2008,Hilton Armstrong,NOH,65.0,3.0,2.7,2.5,0.4,11.3,0.453,0.0,0.629,65.0,98.0,0.2,0.5,0.9,2.0
2008,Carlos Arroyo,ORL,62.0,20.0,6.9,1.8,3.5,20.5,0.451,0.345,0.853,10.0,103.0,0.4,0.0,1.2,1.4
2008,Chucky Atkins,DEN,24.0,0.0,4.7,1.3,2.0,14.7,0.344,0.316,0.444,3.0,28.0,0.4,0.0,0.4,1.1
2008,James Augustine,ORL,25.0,0.0,1.6,1.2,0.1,6.0,0.529,0.0,0.5,16.0,14.0,0.2,0.1,0.2,0.7
2008,Kelenna Azubuike,GSW,81.0,17.0,8.5,4.0,0.9,21.4,0.445,0.364,0.717,107.0,217.0,0.6,0.4,0.7,2.0
2008,Renaldo Balkman,NYK,65.0,0.0,3.4,3.3,0.6,14.6,0.489,0.083,0.432,83.0,133.0,0.7,0.5,0.6,2.0
2008,Marcus Banks,TOT,36.0,3.0,6.6,1.2,1.7,15.8,0.45,0.392,0.771,4.0,41.0,0.4,0.4,1.0,1.8
2008,Marcus Banks,PHO,24.0,1.0,5.2,0.8,1.0,12.9,0.404,0.385,0.75,3.0,17.0,0.3,0.3,0.7,1.6
2008,Marcus Banks,MIA,12.0,2.0,9.5,2.1,3.0,21.6,0.512,0.405,0.789,1.0,24.0,0.5,0.4,1.8,2.2
2008,Leandro Barbosa,PHO,82.0,12.0,15.6,2.8,2.6,29.5,0.462,0.389,0.822,40.0,191.0,0.9,0.2,1.4,2.4
2008,J.J. Barea,DAL,44.0,9.0,4.3,1.1,1.3,10.5,0.418,0.389,0.8,4.0,43.0,0.3,0.0,0.8,1.1
2008,Andrea Bargnani,TOR,78.0,53.0,10.2,3.7,1.1,23.9,0.386,0.345,0.84,50.0,238.0,0.3,0.5,1.1,2.7
2008,Matt Barnes,GSW,73.0,18.0,6.7,4.4,1.9,19.4,0.423,0.293,0.747,94.0,230.0,0.7,0.5,1.2,2.2
2008,Andre Barrett,LAC,4.0,0.0,1.5,0.2,1.8,6.2,0.4,0.333,0.5,0.0,1.0,0.0,0.0,0.2,0.2
2008,Earl Barron,MIA,46.0,15.0,7.1,4.3,0.6,19.3,0.404,0.077,0.701,67.0,131.0,0.4,0.2,1.0,2.5
2008,Brent Barry,SAS,31.0,1.0,7.1,1.8,1.7,17.9,0.481,0.429,0.95,12.0,43.0,0.5,0.1,0.6,1.4
2008,Brandon Bass,DAL,79.0,1.0,8.3,4.4,0.7,19.7,0.499,0.0,0.822,120.0,227.0,0.3,0.6,1.0,1.9
2008,Maceo Baston,TOR,15.0,2.0,2.7,1.7,0.2,6.9,0.68,0.0,0.7,9.0,17.0,0.1,0.3,0.3,1.3
2008,Shane Battier,HOU,80.0,78.0,9.3,5.1,1.9,36.3,0.428,0.377,0.743,131.0,276.0,1.0,1.1,1.0,2.4
2008,Marco Belinelli,GSW,33.0,0.0,2.9,0.4,0.5,7.3,0.387,0.39,0.778,3.0,11.0,0.2,0.0,0.4,0.5
2008,Charlie Bell,MIL,68.0,5.0,7.6,2.5,3.1,23.9,0.381,0.341,0.805,31.0,136.0,0.8,0.0,1.1,1.8
2008,Raja Bell,PHO,75.0,75.0,11.9,3.7,2.2,35.3,0.421,0.401,0.868,47.0,227.0,0.7,0.4,0.9,2.9
2008,Mike Bibby,TOT,48.0,44.0,13.9,3.3,6.0,32.8,0.411,0.375,0.78,16.0,144.0,1.1,0.1,2.5,2.0
2008,Mike Bibby,SAC,15.0,12.0,13.5,3.7,5.0,31.5,0.406,0.393,0.742,11.0,45.0,1.3,0.1,2.5,2.3
2008,Mike Bibby,ATL,33.0,32.0,14.1,3.2,6.5,33.3,0.414,0.369,0.797,5.0,99.0,1.1,0.1,2.5,1.9
