Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
1997,Mahmoud Abdul-Rauf,SAC,75.0,51.0,13.7,1.6,2.5,28.4,0.445,0.382,0.846,16.0,106.0,0.7,0.1,1.6,2.3
1997,Shareef Abdur-Rahim,VAN,80.0,71.0,18.7,6.9,2.2,35.0,0.453,0.259,0.746,216.0,339.0,1.0,1.0,2.8,2.5
1997,Rafael Addison,CHH,41.0,3.0,3.1,1.1,0.8,8.7,0.402,0.4,0.786,19.0,26.0,0.2,0.1,0.4,1.3
1997,Cory Alexander,SAS,80.0,6.0,7.2,1.5,3.2,18.2,0.396,0.373,0.736,29.0,94.0,1.0,0.2,1.8,1.8
1997,Jerome Allen,TOT,76.0,1.0,3.0,1.3,2.0,12.4,0.353,0.323,0.583,25.0,73.0,0.4,0.1,0.9,1.1
1997,Jerome Allen,IND,51.0,1.0,3.2,1.3,2.1,13.6,0.388,0.39,0.574,13.0,52.0,0.5,0.0,1.1,1.3
1997,Jerome Allen,DEN,25.0,0.0,2.6,1.3,1.7,10.0,0.284,0.206,0.6,12.0,21.0,0.2,0.2,0.5,0.7
1997,Ray Allen,MIL,82.0,81.0,13.4,4.0,2.6,30.9,0.43,0.393,0.823,97.0,229.0,0.9,0.1,1.8,2.7
1997,Derrick Alston,ATL,2.0,0.0,0.0,2.0,0.0,5.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
1997,Ashraf Amaya,WSB,31.0,0.0,1.3,1.7,0.1,4.6,0.3,1.0,0.536,19.0,33.0,0.2,0.1,0.3,0.9
1997,Greg Anderson,SAS,82.0,48.0,3.9,5.5,0.4,20.2,0.496,0.0,0.667,157.0,291.0,0.8,0.8,0.9,2.7
1997,Kenny Anderson,POR,82.0,81.0,17.5,4.4,7.1,37.6,0.427,0.361,0.768,91.0,272.0,2.0,0.2,2.4,2.7
1997,Nick Anderson,ORL,63.0,61.0,12.0,4.8,2.9,34.3,0.397,0.353,0.404,66.0,238.0,1.9,0.5,1.4,2.5
1997,Shandon Anderson,UTA,65.0,0.0,5.9,2.8,0.8,16.4,0.462,0.511,0.687,52.0,127.0,0.4,0.1,1.1,1.7
1997,Willie Anderson,MIA,28.0,1.0,3.0,1.5,1.2,10.8,0.453,0.421,0.85,15.0,27.0,0.5,0.1,0.7,1.3
1997,Greg Anthony,VAN,65.0,44.0,9.5,2.8,6.3,28.7,0.393,0.37,0.73,25.0,159.0,2.0,0.1,2.0,1.9
1997,B.J. Armstrong,GSW,49.0,17.0,7.9,1.5,2.6,20.8,0.453,0.278,0.861,7.0,67.0,0.5,0.0,1.1,1.1
1997,Darrell Armstrong,ORL,67.0,0.0,6.1,1.1,2.6,15.1,0.383,0.304,0.868,35.0,41.0,0.9,0.1,1.5,1.7
1997,Vincent Askew,TOT,43.0,0.0,5.6,2.3,2.1,19.5,0.435,0.292,0.795,25.0,73.0,0.4,0.1,1.1,2.9
1997,Vincent Askew,NJN,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1997,Vincent Askew,IND,41.0,0.0,5.7,2.4,2.2,20.0,0.432,0.292,0.791,25.0,73.0,0.4,0.1,1.0,3.0
1997,Vincent Askew,DEN,1.0,0.0,6.0,0.0,0.0,9.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
1997,Keith Askins,MIA,78.0,30.0,4.9,3.5,1.0,22.7,0.433,0.401,0.672,86.0,185.0,0.7,0.2,0.8,2.5
