Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2011,Jeff Adrien,GSW,23.0,0.0,2.5,2.5,0.4,8.5,0.426,0.0,0.579,23.0,35.0,0.2,0.2,0.4,1.2
2011,Arron Afflalo,DEN,69.0,69.0,12.6,3.6,2.4,33.7,0.498,0.423,0.847,45.0,206.0,0.5,0.4,1.0,2.2
2011,Maurice Ager,MIN,4.0,0.0,3.8,0.5,0.2,7.2,0.545,0.75,0.0,0.0,2.0,0.2,0.0,1.0,1.0
2011,Alexis Ajinca,TOT,34.0,2.0,4.2,2.3,0.3,10.0,0.444,0.353,0.722,17.0,61.0,0.3,0.6,0.5,2.1
2011,Alexis Ajinca,DAL,10.0,2.0,2.9,1.7,0.2,7.5,0.375,0.429,0.667,5.0,12.0,0.3,0.5,0.1,1.3
2011,Alexis Ajinca,TOR,24.0,0.0,4.8,2.5,0.3,11.0,0.465,0.333,0.733,12.0,49.0,0.3,0.6,0.7,2.5
2011,Solomon Alabi,TOR,12.0,0.0,0.5,1.2,0.2,4.9,0.2,0.0,0.0,7.0,7.0,0.2,0.2,0.2,0.4
2011,Cole Aldrich,OKC,18.0,0.0,1.0,1.9,0.2,7.9,0.533,0.0,0.5,13.0,22.0,0.3,0.4,0.4,1.7
2011,LaMarcus Aldridge,POR,81.0,81.0,21.8,8.8,2.1,39.6,0.5,0.174,0.791,278.0,431.0,1.0,1.2,1.9,2.7
2011,Malik Allen,ORL,18.0,0.0,1.3,1.8,0.2,9.9,0.355,0.0,0.5,12.0,20.0,0.1,0.2,0.2,1.7
2011,Ray Allen,BOS,80.0,80.0,16.5,3.4,2.7,36.1,0.491,0.444,0.881,51.0,223.0,1.0,0.2,1.5,1.8
2011,Tony Allen,MEM,72.0,31.0,8.9,2.7,1.4,20.8,0.51,0.174,0.753,70.0,123.0,1.8,0.6,1.2,2.2
2011,Al-Farouq Aminu,LAC,81.0,14.0,5.6,3.3,0.7,17.9,0.394,0.315,0.773,75.0,192.0,0.7,0.3,1.3,1.5
2011,Lou Amundson,GSW,46.0,7.0,4.3,4.0,0.4,15.0,0.454,0.0,0.391,81.0,104.0,0.3,0.7,0.5,1.9
2011,Chris Andersen,DEN,45.0,0.0,5.6,4.9,0.4,16.3,0.599,0.0,0.637,75.0,144.0,0.5,1.3,0.6,1.8
2011,David Andersen,TOT,40.0,0.0,3.4,2.1,0.3,9.3,0.463,0.348,0.636,20.0,64.0,0.1,0.2,0.6,1.0
2011,David Andersen,TOR,11.0,0.0,5.1,3.1,0.6,13.6,0.489,0.3,1.0,8.0,26.0,0.3,0.3,0.7,1.0
2011,David Andersen,NOH,29.0,0.0,2.7,1.7,0.2,7.7,0.446,0.385,0.467,12.0,38.0,0.1,0.2,0.5,1.0
2011,James Anderson,SAS,26.0,2.0,3.6,0.9,0.7,11.0,0.383,0.391,0.778,2.0,21.0,0.1,0.2,0.5,0.9
2011,Ryan Anderson,ORL,64.0,14.0,10.6,5.5,0.8,22.2,0.43,0.393,0.812,129.0,226.0,0.5,0.6,0.8,2.1
2011,Carmelo Anthony,TOT,77.0,77.0,25.6,7.3,2.9,35.7,0.455,0.378,0.838,118.0,445.0,0.9,0.6,2.7,2.9
2011,Carmelo Anthony,DEN,50.0,50.0,25.2,7.6,2.8,35.5,0.452,0.333,0.823,77.0,305.0,0.9,0.6,2.8,2.7
2011,Carmelo Anthony,NYK,27.0,27.0,26.3,6.7,3.0,36.2,0.461,0.424,0.872,41.0,140.0,0.9,0.6,2.4,3.3
2011,Joel Anthony,MIA,75.0,11.0,2.0,3.5,0.3,19.5,0.535,0.0,0.644,104.0,162.0,0.1,1.2,0.5,2.6
2011,Gilbert Arenas,TOT,70.0,16.0,10.8,2.7,3.9,25.7,0.366,0.297,0.784,22.0,167.0,1.1,0.3,2.5,2.7
2011,Gilbert Arenas,WAS,21.0,14.0,17.3,3.3,5.6,34.6,0.394,0.324,0.836,6.0,64.0,1.4,0.6,3.4,3.6
2011,Gilbert Arenas,ORL,49.0,2.0,8.0,2.4,3.2,21.8,0.344,0.275,0.744,16.0,103.0,0.9,0.2,2.2,2.3
2011,Trevor Ariza,NOH,75.0,75.0,11.0,5.4,2.2,34.7,0.398,0.303,0.701,61.0,347.0,1.6,0.4,1.6,2.4
2011,Hilton Armstrong,TOT,53.0,2.0,1.7,2.5,0.3,9.2,0.487,0.5,0.485,42.0,89.0,0.3,0.4,0.5,1.6
2011,Hilton Armstrong,WAS,41.0,2.0,1.9,2.8,0.2,10.0,0.484,0.333,0.609,39.0,75.0,0.4,0.4,0.6,1.8
2011,Hilton Armstrong,ATL,12.0,0.0,1.2,1.4,0.3,6.3,0.5,1.0,0.2,3.0,14.0,0.2,0.4,0.2,0.8
2011,Carlos Arroyo,TOT,64.0,43.0,4.8,1.6,2.0,18.5,0.44,0.449,0.83,20.0,83.0,0.3,0.0,0.9,1.1
2011,Carlos Arroyo,MIA,49.0,42.0,5.6,1.6,2.0,20.3,0.458,0.438,0.8,13.0,67.0,0.3,0.0,0.9,1.2
2011,Carlos Arroyo,BOS,15.0,1.0,2.4,1.5,1.7,12.7,0.314,0.6,0.917,7.0,16.0,0.5,0.0,1.1,0.7
2011,Darrell Arthur,MEM,80.0,9.0,9.1,4.3,0.7,20.1,0.497,0.0,0.813,115.0,227.0,0.6,0.8,1.1,2.8
2011,Omer Asik,CHI,82.0,0.0,2.8,3.7,0.4,12.1,0.553,0.0,0.503,112.0,194.0,0.2,0.7,0.8,1.9
2011,D.J. Augustin,CHA,82.0,82.0,14.4,2.7,6.1,33.6,0.416,0.333,0.906,38.0,187.0,0.7,0.0,1.9,1.9
2011,Luke Babbitt,POR,24.0,0.0,1.5,1.2,0.2,5.7,0.273,0.188,0.333,6.0,24.0,0.1,0.1,0.3,0.6
2011,Renaldo Balkman,TOT,8.0,0.0,2.0,0.9,0.2,7.8,0.462,0.5,0.75,2.0,5.0,0.5,0.2,0.1,1.9
2011,Renaldo Balkman,DEN,5.0,0.0,2.6,0.8,0.4,8.8,0.556,0.0,0.75,1.0,3.0,0.6,0.4,0.0,2.2
