Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
1991,Alaa Abdelnaby,POR,43.0,0.0,3.1,2.1,0.3,6.7,0.474,0.0,0.568,27.0,62.0,0.1,0.3,0.5,0.9
1991,Mahmoud Abdul-Rauf,DEN,67.0,19.0,14.1,1.8,3.1,22.5,0.413,0.24,0.857,34.0,87.0,0.8,0.1,1.6,2.2
1991,Mark Acres,ORL,68.0,0.0,4.2,5.3,0.4,19.3,0.509,0.333,0.653,140.0,219.0,0.4,0.4,0.6,3.2
1991,Michael Adams,DEN,66.0,66.0,26.5,3.9,10.5,35.5,0.394,0.296,0.879,58.0,198.0,2.2,0.1,3.6,2.5
1991,Mark Aguirre,DET,78.0,13.0,14.2,4.8,1.8,25.7,0.462,0.308,0.757,134.0,240.0,0.6,0.3,1.6,2.7
1991,Danny Ainge,POR,80.0,0.0,11.1,2.6,3.6,21.4,0.472,0.406,0.826,45.0,160.0,0.8,0.2,1.2,2.4
1991,Mark Alarie,WSB,42.0,1.0,5.8,2.8,1.1,14.0,0.44,0.238,0.854,41.0,76.0,0.4,0.2,1.0,2.1
1991,Steve Alford,DAL,34.0,0.0,4.4,0.7,0.6,6.9,0.504,0.304,0.839,10.0,14.0,0.2,0.0,0.5,0.3
1991,Greg Anderson,TOT,68.0,2.0,4.3,4.7,0.2,13.6,0.43,0.0,0.522,97.0,221.0,0.5,0.7,1.2,2.1
1991,Greg Anderson,MIL,26.0,0.0,2.7,2.9,0.1,9.5,0.37,0.0,0.571,26.0,49.0,0.3,0.3,0.8,1.1
1991,Greg Anderson,NJN,1.0,0.0,8.0,6.0,1.0,18.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,4.0
1991,Greg Anderson,DEN,41.0,2.0,5.2,5.8,0.3,16.1,0.44,0.0,0.506,67.0,170.0,0.6,0.9,1.5,2.6
1991,Nick Anderson,ORL,70.0,42.0,14.1,5.5,1.5,28.2,0.467,0.293,0.668,92.0,294.0,1.1,0.6,1.6,2.1
