Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2004,Shareef Abdur-Rahim,TOT,85.0,56.0,16.3,7.5,2.0,31.6,0.475,0.265,0.869,189.0,450.0,0.8,0.4,2.2,2.6
2004,Shareef Abdur-Rahim,ATL,53.0,53.0,20.1,9.3,2.4,36.9,0.485,0.217,0.88,141.0,354.0,0.8,0.4,2.5,2.8
2004,Shareef Abdur-Rahim,POR,32.0,3.0,10.0,4.5,1.5,22.8,0.447,0.364,0.832,48.0,96.0,0.8,0.6,1.7,2.3
2004,Malik Allen,MIA,45.0,6.0,4.2,2.6,0.4,13.7,0.419,0.0,0.758,42.0,77.0,0.3,0.6,0.6,1.8
2004,Ray Allen,SEA,56.0,56.0,23.0,5.1,4.8,38.4,0.44,0.392,0.904,69.0,217.0,1.3,0.2,2.8,2.4
2004,Rafer Alston,MIA,82.0,28.0,10.2,2.8,4.5,31.5,0.376,0.371,0.769,26.0,200.0,1.4,0.2,1.6,2.6
2004,Chris Andersen,DEN,71.0,0.0,3.4,4.2,0.5,14.5,0.443,0.0,0.589,89.0,209.0,0.5,1.6,0.7,1.7
2004,Derek Anderson,POR,51.0,46.0,13.6,3.6,4.5,35.5,0.376,0.305,0.824,26.0,156.0,1.3,0.1,1.8,1.5
2004,Kenny Anderson,IND,44.0,31.0,6.0,1.8,2.8,20.6,0.441,0.25,0.729,19.0,62.0,0.6,0.1,1.1,1.7
2004,Shandon Anderson,NYK,80.0,37.0,7.9,2.8,1.5,24.7,0.422,0.281,0.764,53.0,169.0,0.8,0.2,1.5,2.3
2004,Carmelo Anthony,DEN,82.0,82.0,21.0,6.1,2.8,36.5,0.426,0.322,0.777,183.0,315.0,1.2,0.5,3.0,2.7
2004,Robert Archibald,TOT,32.0,3.0,1.0,1.6,0.4,8.0,0.273,0.0,0.452,21.0,31.0,0.4,0.1,0.3,1.6
2004,Robert Archibald,PHO,1.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0
2004,Robert Archibald,ORL,1.0,0.0,2.0,1.0,0.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2004,Robert Archibald,TOR,30.0,3.0,1.0,1.7,0.4,8.2,0.267,0.0,0.481,21.0,29.0,0.4,0.1,0.3,1.6
2004,Gilbert Arenas,WAS,55.0,52.0,19.6,4.6,5.0,37.6,0.392,0.375,0.748,55.0,199.0,1.9,0.2,4.1,3.2
2004,Brandon Armstrong,NJN,56.0,0.0,2.7,0.8,0.2,7.8,0.371,0.365,0.5,12.0,31.0,0.2,0.0,0.4,0.9
2004,Darrell Armstrong,NOH,79.0,22.0,10.6,2.9,3.9,28.4,0.395,0.315,0.854,63.0,163.0,1.7,0.2,2.0,1.9
2004,Carlos Arroyo,UTA,71.0,71.0,12.6,2.6,5.0,28.3,0.441,0.325,0.804,41.0,144.0,0.9,0.1,2.2,2.3
2004,Chucky Atkins,TOT,64.0,24.0,8.4,1.5,3.5,24.1,0.397,0.336,0.753,9.0,84.0,0.7,0.0,1.4,1.6
2004,Chucky Atkins,DET,40.0,0.0,6.2,1.2,2.4,18.8,0.374,0.323,0.721,6.0,42.0,0.5,0.0,1.2,1.5
2004,Chucky Atkins,BOS,24.0,24.0,12.0,1.9,5.3,33.0,0.418,0.351,0.778,3.0,42.0,1.1,0.0,1.8,1.8
2004,Stacey Augmon,NOH,69.0,24.0,5.8,2.5,1.2,20.5,0.412,0.143,0.791,52.0,122.0,0.8,0.2,1.1,1.7
2004,Vin Baker,TOT,54.0,33.0,9.8,5.2,1.2,24.3,0.481,0.333,0.726,112.0,168.0,0.5,0.6,1.4,3.0
2004,Vin Baker,BOS,37.0,33.0,11.3,5.7,1.5,27.0,0.505,0.0,0.732,76.0,134.0,0.6,0.6,1.4,2.6
2004,Vin Baker,NYK,17.0,0.0,6.6,4.1,0.7,18.4,0.404,0.5,0.711,36.0,34.0,0.4,0.5,1.5,3.6
