Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2001,Mahmoud Abdul-Rauf,VAN,41.0,0.0,6.5,0.6,1.9,11.9,0.488,0.286,0.759,5.0,20.0,0.2,0.0,0.6,1.2
2001,Tariq Abdul-Wahad,DEN,29.0,12.0,3.8,2.0,0.8,14.5,0.387,0.4,0.583,14.0,45.0,0.5,0.4,1.2,1.9
2001,Shareef Abdur-Rahim,VAN,81.0,81.0,20.5,9.1,3.1,40.0,0.472,0.188,0.834,175.0,560.0,1.1,1.0,2.9,2.9
2001,Cory Alexander,ORL,26.0,0.0,2.0,1.0,1.4,8.7,0.321,0.25,0.667,0.0,25.0,0.6,0.0,1.0,1.1
2001,Courtney Alexander,TOT,65.0,24.0,9.5,2.2,1.0,21.3,0.417,0.37,0.82,42.0,101.0,0.7,0.1,1.2,2.1
2001,Courtney Alexander,DAL,38.0,6.0,4.2,1.7,0.6,12.4,0.348,0.3,0.733,20.0,43.0,0.4,0.1,0.6,2.0
2001,Courtney Alexander,WAS,27.0,18.0,17.0,3.0,1.5,33.7,0.448,0.389,0.857,22.0,58.0,1.1,0.1,2.0,2.3
2001,Ray Allen,MIL,82.0,82.0,22.0,5.2,4.6,38.2,0.48,0.433,0.888,101.0,327.0,1.5,0.2,2.5,2.3
2001,Rafer Alston,MIL,37.0,2.0,2.1,0.8,1.8,7.8,0.357,0.267,0.692,4.0,27.0,0.4,0.0,0.5,0.7
2001,John Amaechi,ORL,82.0,36.0,7.9,3.3,0.9,20.9,0.4,0.0,0.631,77.0,191.0,0.3,0.4,1.5,2.1
2001,Derek Anderson,SAS,82.0,82.0,15.5,4.4,3.7,34.9,0.416,0.399,0.851,75.0,288.0,1.5,0.2,2.0,2.3
2001,Kenny Anderson,BOS,33.0,28.0,7.5,2.2,4.1,25.7,0.388,0.333,0.831,16.0,57.0,1.3,0.1,1.6,1.9
2001,Nick Anderson,SAC,21.0,0.0,1.8,1.2,0.6,8.0,0.246,0.256,0.0,3.0,22.0,0.5,0.2,0.3,0.6
2001,Shandon Anderson,HOU,82.0,82.0,8.7,4.1,2.3,29.2,0.446,0.271,0.734,72.0,261.0,1.0,0.5,1.6,2.5
2001,Greg Anthony,POR,58.0,0.0,4.9,1.1,1.4,14.8,0.383,0.409,0.657,21.0,40.0,0.7,0.1,0.7,1.1
