Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2014,Quincy Acy,TOT,63.0,0.0,2.7,3.4,0.4,13.4,0.468,0.267,0.66,72.0,144.0,0.4,0.4,0.5,1.9
2014,Quincy Acy,TOR,7.0,0.0,2.7,2.1,0.6,8.7,0.429,0.4,0.625,5.0,10.0,0.6,0.4,0.3,1.1
2014,Quincy Acy,SAC,56.0,0.0,2.7,3.6,0.4,14.0,0.472,0.2,0.667,67.0,134.0,0.3,0.4,0.5,2.0
2014,Steven Adams,OKC,81.0,20.0,3.3,4.1,0.5,14.8,0.503,0.0,0.581,142.0,190.0,0.5,0.7,0.9,2.5
2014,Jeff Adrien,TOT,53.0,12.0,6.8,5.8,0.7,18.1,0.52,0.0,0.639,102.0,204.0,0.5,0.7,0.7,2.0
2014,Jeff Adrien,CHA,25.0,0.0,2.3,3.5,0.3,10.2,0.55,0.0,0.52,33.0,55.0,0.3,0.6,0.3,1.4
2014,Jeff Adrien,MIL,28.0,12.0,10.9,7.8,1.1,25.2,0.515,0.0,0.67,69.0,149.0,0.6,0.8,1.1,2.6
2014,Arron Afflalo,ORL,73.0,73.0,18.2,3.6,3.4,35.0,0.459,0.427,0.815,32.0,230.0,0.5,0.0,2.0,1.9
2014,Alexis Ajinca,NOP,56.0,30.0,5.9,4.9,0.7,17.0,0.546,0.0,0.836,94.0,183.0,0.4,0.8,1.1,3.3
2014,Cole Aldrich,NYK,46.0,2.0,2.0,2.8,0.3,7.2,0.541,0.0,0.867,37.0,92.0,0.2,0.7,0.4,0.9
2014,LaMarcus Aldridge,POR,69.0,69.0,23.2,11.1,2.6,36.2,0.458,0.2,0.822,166.0,599.0,0.9,1.0,1.8,2.1
2014,Lavoy Allen,TOT,65.0,2.0,4.7,4.8,1.1,16.5,0.447,0.154,0.66,119.0,192.0,0.4,0.5,0.7,1.9
