Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
1996,Mahmoud Abdul-Rauf,DEN,57.0,53.0,19.2,2.4,6.8,35.6,0.434,0.392,0.93,26.0,112.0,1.1,0.1,2.0,2.1
1996,Michael Adams,CHH,21.0,3.0,5.4,1.0,3.2,15.7,0.446,0.341,0.743,5.0,17.0,1.0,0.2,1.2,1.2
1996,Rafael Addison,CHH,53.0,0.0,3.2,1.7,0.6,9.7,0.467,0.0,0.773,25.0,65.0,0.2,0.2,0.5,1.4
1996,Cory Alexander,SAS,60.0,0.0,2.8,0.7,2.0,9.3,0.406,0.394,0.64,9.0,33.0,0.4,0.0,1.1,1.6
1996,Jerome Allen,MIN,41.0,0.0,2.6,0.6,1.2,8.8,0.343,0.303,0.722,5.0,20.0,0.5,0.1,0.8,1.0
1996,Derrick Alston,PHI,73.0,41.0,6.2,4.1,0.8,22.1,0.512,0.333,0.491,127.0,175.0,0.8,0.7,0.8,2.6
1996,John Amaechi,CLE,28.0,3.0,2.8,1.9,0.3,12.8,0.414,0.0,0.576,13.0,39.0,0.2,0.4,1.2,1.8
1996,Ashraf Amaya,VAN,54.0,34.0,6.3,5.6,0.6,20.4,0.48,0.0,0.651,114.0,189.0,0.4,0.2,1.1,2.8
1996,Greg Anderson,SAS,46.0,7.0,1.2,2.2,0.2,7.5,0.511,0.0,0.24,29.0,71.0,0.2,0.5,0.5,1.4
1996,Kenny Anderson,TOT,69.0,64.0,15.2,2.9,8.3,34.0,0.418,0.359,0.769,63.0,140.0,1.6,0.2,2.1,2.6
1996,Kenny Anderson,NJN,31.0,28.0,15.3,3.3,8.0,33.6,0.376,0.364,0.803,37.0,64.0,1.7,0.3,1.9,2.4
1996,Kenny Anderson,CHH,38.0,36.0,15.2,2.7,8.6,34.3,0.454,0.357,0.727,26.0,76.0,1.6,0.2,2.3,2.8
1996,Nick Anderson,ORL,77.0,77.0,14.7,5.4,3.6,35.3,0.442,0.391,0.692,92.0,323.0,1.6,0.6,1.8,1.8
1996,Willie Anderson,TOT,76.0,44.0,9.8,3.2,2.6,27.1,0.436,0.283,0.81,48.0,198.0,1.0,0.8,1.9,3.0
1996,Willie Anderson,TOR,49.0,42.0,12.4,3.8,3.0,31.9,0.44,0.305,0.856,35.0,151.0,1.2,1.0,2.4,3.5
1996,Willie Anderson,NYK,27.0,2.0,5.0,2.2,1.8,18.4,0.421,0.2,0.613,13.0,47.0,0.6,0.3,0.9,2.2
1996,Greg Anthony,VAN,69.0,68.0,14.0,2.5,6.9,30.4,0.415,0.332,0.771,29.0,145.0,1.7,0.2,2.3,2.0
1996,B.J. Armstrong,GSW,82.0,64.0,12.3,2.2,4.9,27.6,0.468,0.473,0.839,22.0,162.0,0.8,0.1,1.6,1.8
1996,Darrell Armstrong,ORL,13.0,0.0,3.2,0.2,0.4,3.2,0.5,0.5,1.0,0.0,2.0,0.5,0.0,0.5,0.3
1996,Vincent Askew,SEA,69.0,2.0,8.4,3.2,2.4,25.0,0.493,0.337,0.764,65.0,153.0,0.7,0.2,1.4,2.6
1996,Keith Askins,MIA,75.0,14.0,6.1,4.3,1.6,25.3,0.402,0.418,0.789,113.0,211.0,0.6,0.8,1.1,3.6
1996,Stacey Augmon,ATL,77.0,49.0,12.7,3.9,1.8,29.8,0.491,0.25,0.792,137.0,167.0,1.4,0.4,1.8,2.4
1996,Anthony Avent,VAN,71.0,32.0,5.8,5.0,1.0,22.3,0.384,0.0,0.74,108.0,247.0,0.4,0.6,1.5,2.8
1996,Vin Baker,MIL,82.0,82.0,21.1,9.9,2.6,40.5,0.489,0.208,0.67,263.0,545.0,0.8,1.1,2.6,3.3
1996,Steve Bardo,DET,9.0,0.0,2.4,2.4,1.7,13.7,0.391,0.0,0.667,2.0,20.0,0.4,0.1,0.6,1.9
1996,Charles Barkley,PHO,71.0,71.0,23.2,11.6,3.7,37.1,0.5,0.28,0.777,243.0,578.0,1.6,0.8,3.1,2.9
1996,Dana Barros,BOS,80.0,25.0,13.0,2.4,3.8,29.1,0.47,0.408,0.884,21.0,171.0,0.7,0.0,1.5,1.4
1996,Brent Barry,LAC,79.0,44.0,10.1,2.1,2.9,24.0,0.474,0.416,0.81,38.0,130.0,1.2,0.3,1.5,2.5
1996,Jon Barry,GSW,68.0,0.0,3.8,0.9,1.2,10.5,0.492,0.473,0.838,17.0,46.0,0.5,0.2,0.6,0.8
1996,Corey Beck,CHH,5.0,0.0,1.0,1.4,1.0,6.6,0.25,0.0,0.5,3.0,4.0,0.2,0.0,0.8,1.6
1996,Benoit Benjamin,TOT,83.0,71.0,8.8,6.5,0.8,22.8,0.498,0.0,0.722,141.0,398.0,0.5,1.0,1.7,2.7
1996,Benoit Benjamin,VAN,13.0,13.0,13.9,7.9,1.2,31.1,0.441,0.0,0.696,31.0,72.0,0.8,1.2,2.6,3.1
1996,Benoit Benjamin,MIL,70.0,58.0,7.8,6.2,0.7,21.3,0.52,0.0,0.732,110.0,326.0,0.5,1.0,1.6,2.6
1996,Elmer Bennett,PHI,8.0,0.0,1.4,0.6,1.0,8.2,0.235,0.0,0.75,1.0,4.0,0.1,0.1,0.9,0.8
1996,Mario Bennett,PHO,19.0,14.0,4.5,2.6,0.3,12.1,0.453,0.0,0.643,21.0,28.0,0.6,0.6,0.6,2.4
1996,David Benoit,UTA,81.0,63.0,8.2,4.7,1.0,24.2,0.439,0.333,0.777,90.0,293.0,0.5,0.6,0.9,2.0
1996,Travis Best,IND,59.0,1.0,3.7,0.7,1.6,9.7,0.423,0.32,0.833,11.0,33.0,0.3,0.1,1.1,1.4
1996,Mookie Blaylock,ATL,81.0,81.0,15.7,4.1,5.9,35.7,0.405,0.371,0.747,110.0,222.0,2.6,0.2,2.3,1.9
1996,Corie Blount,LAL,57.0,2.0,3.2,3.0,0.7,12.5,0.473,0.0,0.568,69.0,101.0,0.4,0.6,0.8,1.9
1996,Muggsy Bogues,CHH,6.0,0.0,2.3,1.2,3.2,12.8,0.375,0.0,1.0,6.0,1.0,0.3,0.0,1.0,0.7
1996,Anthony Bonner,ORL,4.0,0.0,3.2,4.8,1.0,10.8,0.333,0.0,0.429,6.0,13.0,0.8,0.0,0.8,2.8
1996,Melvin Booker,HOU,11.0,0.0,4.0,0.8,1.9,11.9,0.32,0.158,0.818,1.0,8.0,0.5,0.1,1.1,1.6
1996,Anthony Bowie,ORL,74.0,4.0,4.2,1.7,1.4,14.6,0.471,0.387,0.87,40.0,83.0,0.5,0.1,0.7,1.5
1996,Donnie Boyce,ATL,8.0,0.0,3.0,1.2,0.4,5.1,0.391,0.5,0.5,5.0,5.0,0.4,0.1,0.8,0.2
1996,Shawn Bradley,TOT,79.0,68.0,11.9,8.1,0.8,29.5,0.443,0.25,0.687,221.0,417.0,0.6,3.6,2.3,3.6
1996,Shawn Bradley,PHI,12.0,11.0,8.8,8.8,0.7,27.8,0.443,0.0,0.76,34.0,72.0,0.7,3.2,2.6,3.5
1996,Shawn Bradley,NJN,67.0,57.0,12.5,7.9,0.8,29.8,0.443,0.25,0.679,187.0,345.0,0.6,3.7,2.2,3.6
1996,Marques Bragg,MIN,53.0,0.0,2.5,1.5,0.2,7.0,0.45,0.0,0.561,38.0,41.0,0.3,0.2,0.5,1.3
