Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2010,Arron Afflalo,DEN,82.0,75.0,8.8,3.1,1.7,27.1,0.465,0.434,0.735,59.0,193.0,0.6,0.4,0.9,2.7
2010,Alexis Ajinca,CHA,6.0,0.0,1.7,0.7,0.0,5.0,0.5,0.0,0.0,1.0,3.0,0.2,0.2,0.3,0.8
2010,LaMarcus Aldridge,POR,78.0,78.0,17.9,8.0,2.1,37.5,0.495,0.313,0.757,192.0,435.0,0.9,0.6,1.3,3.0
2010,Joe Alexander,CHI,8.0,0.0,0.5,0.6,0.2,3.6,0.167,0.0,0.667,2.0,3.0,0.1,0.1,0.0,1.1
2010,Malik Allen,DEN,51.0,3.0,2.1,1.6,0.3,8.9,0.397,0.167,0.923,36.0,46.0,0.2,0.1,0.4,1.3
2010,Ray Allen,BOS,80.0,80.0,16.3,3.2,2.6,35.2,0.477,0.363,0.913,45.0,208.0,0.8,0.3,1.6,2.3
2010,Tony Allen,BOS,54.0,8.0,6.1,2.7,1.3,16.5,0.51,0.0,0.605,52.0,93.0,1.1,0.4,1.2,2.0
2010,Rafer Alston,TOT,52.0,38.0,8.2,2.5,3.4,27.3,0.348,0.345,0.728,13.0,116.0,1.0,0.2,1.8,2.0
2010,Rafer Alston,NJN,27.0,13.0,9.7,2.8,3.9,28.4,0.343,0.322,0.815,9.0,66.0,1.0,0.2,2.3,1.9
2010,Rafer Alston,MIA,25.0,25.0,6.6,2.2,2.9,26.2,0.355,0.37,0.556,4.0,50.0,0.9,0.2,1.4,2.1
2010,Lou Amundson,PHO,79.0,0.0,4.7,4.4,0.4,14.8,0.551,0.0,0.545,128.0,218.0,0.3,0.9,0.7,2.1
2010,Chris Andersen,DEN,76.0,0.0,5.9,6.4,0.4,22.3,0.566,0.0,0.695,147.0,336.0,0.6,1.9,0.8,2.2
2010,David Andersen,HOU,63.0,0.0,5.8,3.3,0.7,14.1,0.432,0.346,0.687,54.0,154.0,0.2,0.2,0.6,1.9
2010,Antonio Anderson,OKC,1.0,0.0,2.0,1.0,0.0,15.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2010,Ryan Anderson,ORL,63.0,6.0,7.7,3.2,0.6,14.5,0.436,0.37,0.866,70.0,132.0,0.4,0.2,0.9,1.3
2010,Carmelo Anthony,DEN,69.0,69.0,28.2,6.6,3.2,38.2,0.458,0.316,0.83,152.0,302.0,1.3,0.4,3.0,3.3
2010,Joel Anthony,MIA,80.0,16.0,2.7,3.1,0.2,16.5,0.478,0.0,0.717,123.0,126.0,0.2,1.4,0.6,2.0
2010,Gilbert Arenas,WAS,32.0,32.0,22.6,4.2,7.2,36.5,0.411,0.348,0.739,17.0,116.0,1.3,0.3,3.7,3.0
2010,Trevor Ariza,HOU,72.0,71.0,14.9,5.6,3.8,36.5,0.394,0.334,0.649,78.0,325.0,1.8,0.6,2.2,2.2
2010,Hilton Armstrong,TOT,33.0,0.0,2.2,2.5,0.6,10.2,0.354,0.0,0.469,27.0,54.0,0.5,0.4,0.7,1.8
2010,Hilton Armstrong,NOH,18.0,0.0,2.8,3.4,0.9,13.3,0.38,0.0,0.464,17.0,44.0,0.4,0.4,0.7,2.4
2010,Hilton Armstrong,SAC,6.0,0.0,1.7,2.3,0.3,9.3,0.333,0.0,1.0,5.0,9.0,0.3,0.7,0.7,0.8
2010,Hilton Armstrong,HOU,9.0,0.0,1.1,0.7,0.3,4.4,0.294,0.0,0.0,5.0,1.0,0.6,0.0,0.6,1.1
2010,Carlos Arroyo,MIA,72.0,35.0,6.1,1.8,3.1,22.0,0.475,0.28,0.844,26.0,104.0,0.5,0.1,0.8,1.4
2010,Darrell Arthur,MEM,32.0,1.0,4.5,3.4,0.5,14.3,0.432,0.0,0.567,37.0,73.0,0.4,0.4,0.7,1.9
2010,Chucky Atkins,DET,40.0,11.0,4.0,0.7,2.3,16.1,0.363,0.301,0.926,5.0,24.0,0.4,0.0,0.8,1.3
2010,D.J. Augustin,CHA,80.0,2.0,6.4,1.2,2.4,18.4,0.386,0.393,0.779,11.0,86.0,0.6,0.1,0.9,1.6
2010,Jeff Ayres,POR,39.0,4.0,2.7,2.5,0.0,10.4,0.662,0.0,0.9,25.0,73.0,0.2,0.4,0.3,1.9
2010,Kelenna Azubuike,GSW,9.0,7.0,13.9,4.6,1.1,25.7,0.545,0.37,0.679,12.0,29.0,0.6,1.0,0.8,1.8
2010,Renaldo Balkman,DEN,13.0,1.0,1.1,1.8,0.5,7.0,0.333,0.0,0.333,4.0,19.0,0.6,0.2,0.5,1.2
2010,Marcus Banks,TOR,22.0,0.0,5.0,1.0,1.2,11.1,0.534,0.292,0.828,3.0,20.0,0.5,0.1,0.9,1.4
2010,Leandro Barbosa,PHO,44.0,5.0,9.5,1.6,1.5,17.9,0.425,0.324,0.877,11.0,58.0,0.5,0.3,1.0,1.6
2010,J.J. Barea,DAL,78.0,18.0,7.6,1.9,3.3,19.8,0.44,0.357,0.844,17.0,129.0,0.4,0.1,1.3,1.5
2010,Andrea Bargnani,TOR,80.0,80.0,17.2,6.2,1.2,35.0,0.47,0.372,0.774,105.0,388.0,0.3,1.4,1.5,2.7
2010,Matt Barnes,ORL,81.0,58.0,8.8,5.5,1.7,25.9,0.487,0.319,0.74,106.0,339.0,0.7,0.4,1.4,2.3
2010,Earl Barron,NYK,7.0,6.0,11.7,11.0,1.1,33.1,0.441,0.0,0.759,31.0,46.0,0.6,0.6,1.6,3.4
2010,Brandon Bass,ORL,50.0,3.0,5.8,2.5,0.4,13.0,0.511,0.0,0.825,54.0,73.0,0.2,0.5,0.6,1.4
2010,Tony Battie,NJN,15.0,0.0,2.4,1.5,0.2,8.9,0.35,0.25,0.7,4.0,19.0,0.3,0.1,0.2,1.3
2010,Shane Battier,HOU,67.0,62.0,8.0,4.7,2.4,32.4,0.398,0.362,0.726,74.0,238.0,0.8,1.1,1.0,2.1
2010,Nicolas Batum,POR,37.0,25.0,10.1,3.8,1.2,24.8,0.519,0.409,0.843,32.0,109.0,0.6,0.7,0.7,2.2
2010,Jerryd Bayless,POR,74.0,11.0,8.5,1.6,2.3,17.6,0.414,0.315,0.831,18.0,102.0,0.4,0.1,1.3,2.1
2010,Michael Beasley,MIA,78.0,78.0,14.8,6.4,1.3,29.8,0.45,0.275,0.8,123.0,375.0,1.0,0.6,1.7,2.8
2010,Rodrigue Beaubois,DAL,56.0,16.0,7.1,1.4,1.3,12.5,0.518,0.409,0.808,12.0,66.0,0.5,0.2,1.0,1.5
2010,Marco Belinelli,TOR,66.0,1.0,7.1,1.4,1.3,17.0,0.406,0.38,0.835,14.0,81.0,0.6,0.1,0.9,1.2
2010,Charlie Bell,MIL,71.0,39.0,6.5,1.9,1.5,22.7,0.381,0.365,0.716,31.0,101.0,0.5,0.2,0.8,1.9
2010,Raja Bell,TOT,6.0,5.0,11.8,3.8,2.2,30.0,0.459,0.444,1.0,5.0,18.0,0.7,0.3,0.8,2.5
2010,Raja Bell,CHA,5.0,5.0,12.0,4.2,2.0,31.4,0.436,0.375,1.0,5.0,16.0,0.8,0.4,1.0,2.6
2010,Raja Bell,GSW,1.0,0.0,11.0,2.0,3.0,23.0,0.667,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2010,Jonathan Bender,NYK,25.0,1.0,4.7,2.1,0.6,11.7,0.4,0.359,0.923,15.0,37.0,0.1,0.7,1.1,1.3
2010,Mike Bibby,ATL,80.0,80.0,9.1,2.3,3.9,27.4,0.416,0.389,0.861,20.0,164.0,0.8,0.0,1.1,2.0
2010,Andris Biedrins,GSW,33.0,29.0,5.0,7.8,1.7,23.1,0.591,0.0,0.16,63.0,196.0,0.6,1.3,1.0,3.5
2010,Chauncey Billups,DEN,73.0,73.0,19.5,3.1,5.6,34.1,0.418,0.386,0.91,25.0,203.0,1.1,0.1,2.4,2.1
2010,DeJuan Blair,SAS,82.0,23.0,7.8,6.4,0.8,18.2,0.556,0.0,0.547,200.0,326.0,0.6,0.5,1.4,2.7
2010,Steve Blake,TOT,80.0,38.0,7.3,2.3,4.8,27.0,0.416,0.395,0.75,21.0,166.0,0.7,0.1,1.6,1.5
2010,Steve Blake,POR,51.0,28.0,7.6,2.3,4.0,27.4,0.403,0.377,0.75,15.0,103.0,0.7,0.0,1.3,1.6
