Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
1999,Tariq Abdul-Wahad,SAC,49.0,49.0,9.3,3.8,1.0,24.6,0.435,0.286,0.691,72.0,114.0,1.0,0.3,1.4,2.5
1999,Shareef Abdur-Rahim,VAN,50.0,50.0,23.0,7.5,3.4,40.4,0.432,0.306,0.841,114.0,260.0,1.4,1.1,3.7,2.7
1999,Cory Alexander,DEN,36.0,4.0,7.2,2.1,3.3,21.6,0.373,0.286,0.841,7.0,67.0,1.0,0.1,1.9,2.1
1999,Ray Allen,MIL,50.0,50.0,17.1,4.2,3.6,34.4,0.45,0.356,0.903,57.0,155.0,1.1,0.1,2.4,2.3
1999,Peter Aluma,SAC,2.0,0.0,1.0,1.0,0.0,2.5,0.5,0.0,0.0,1.0,1.0,0.5,0.5,1.0,2.0
1999,Derek Anderson,CLE,38.0,13.0,10.8,2.9,3.8,25.7,0.398,0.304,0.836,20.0,89.0,1.3,0.1,2.2,1.9
1999,Kenny Anderson,BOS,34.0,33.0,12.1,3.0,5.7,29.7,0.451,0.25,0.832,24.0,79.0,1.0,0.1,2.1,2.3
1999,Nick Anderson,ORL,47.0,39.0,14.9,5.9,1.9,33.6,0.395,0.347,0.611,51.0,226.0,1.4,0.3,1.8,1.5
1999,Shandon Anderson,UTA,50.0,2.0,8.5,2.6,1.1,21.4,0.446,0.341,0.712,49.0,83.0,0.8,0.2,1.3,1.8
1999,Chris Anstey,DAL,41.0,4.0,3.3,2.4,0.7,11.5,0.36,0.0,0.708,35.0,62.0,0.4,0.3,0.6,2.4
1999,Greg Anthony,POR,50.0,0.0,6.4,1.3,2.0,16.1,0.414,0.392,0.697,14.0,49.0,1.3,0.1,1.1,1.5
1999,B.J. Armstrong,TOT,32.0,1.0,3.3,1.2,1.9,11.2,0.455,0.467,0.857,2.0,37.0,0.4,0.0,0.8,1.0
1999,B.J. Armstrong,CHH,10.0,1.0,5.7,1.6,2.7,17.8,0.488,0.75,0.9,1.0,15.0,0.3,0.0,1.0,1.6
1999,B.J. Armstrong,ORL,22.0,0.0,2.2,1.0,1.5,8.2,0.422,0.143,0.818,1.0,22.0,0.4,0.0,0.7,0.7
1999,Darrell Armstrong,ORL,50.0,15.0,13.8,3.6,6.7,30.0,0.441,0.365,0.904,53.0,127.0,2.2,0.1,3.2,1.8
1999,Keith Askins,MIA,33.0,13.0,1.6,1.3,0.3,12.6,0.323,0.276,0.625,10.0,34.0,0.5,0.1,0.4,1.8
1999,Stacey Augmon,POR,48.0,21.0,4.3,2.6,1.2,18.2,0.448,0.0,0.684,47.0,78.0,1.2,0.4,0.6,1.7
1999,Isaac Austin,ORL,49.0,49.0,9.7,4.8,1.8,25.7,0.408,0.286,0.669,83.0,154.0,1.0,0.7,2.3,2.6
