Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2012,Jeff Adrien,HOU,8.0,0.0,2.6,2.8,0.1,7.9,0.438,0.0,0.583,5.0,17.0,0.0,0.2,0.2,1.6
2012,Arron Afflalo,DEN,62.0,62.0,15.2,3.2,2.4,33.6,0.471,0.398,0.798,40.0,157.0,0.6,0.2,1.4,2.2
2012,Blake Ahearn,UTA,4.0,0.0,2.5,0.5,0.2,7.5,0.286,0.222,0.0,0.0,2.0,0.0,0.0,1.2,1.0
2012,Solomon Alabi,TOR,14.0,0.0,2.4,3.4,0.2,8.7,0.361,0.0,0.875,15.0,32.0,0.1,0.6,0.4,0.8
2012,Cole Aldrich,OKC,26.0,0.0,2.2,1.8,0.1,6.7,0.524,0.0,0.929,13.0,35.0,0.3,0.6,0.3,0.8
2012,LaMarcus Aldridge,POR,55.0,55.0,21.7,8.0,2.4,36.3,0.512,0.182,0.814,150.0,292.0,0.9,0.8,2.0,2.8
2012,Lavoy Allen,PHI,41.0,15.0,4.1,4.2,0.8,15.2,0.473,0.0,0.786,47.0,124.0,0.3,0.4,0.5,1.8
2012,Ray Allen,BOS,46.0,42.0,14.2,3.1,2.4,34.0,0.458,0.453,0.915,14.0,128.0,1.1,0.2,1.5,1.8
2012,Tony Allen,MEM,58.0,57.0,9.8,4.0,1.4,26.3,0.469,0.308,0.8,98.0,135.0,1.8,0.6,1.6,2.4
2012,Morris Almond,WAS,4.0,0.0,3.5,2.0,0.5,16.8,0.353,0.333,0.333,1.0,7.0,1.8,0.0,0.2,1.5
2012,Al-Farouq Aminu,NOH,66.0,21.0,6.0,4.7,1.0,22.4,0.411,0.277,0.754,95.0,213.0,0.9,0.5,1.4,2.1
2012,Lou Amundson,IND,60.0,0.0,3.6,3.7,0.2,12.6,0.43,0.0,0.427,94.0,128.0,0.4,0.7,0.8,2.1
2012,Chris Andersen,DEN,32.0,1.0,5.2,4.6,0.2,15.2,0.546,0.0,0.61,48.0,100.0,0.6,1.4,0.5,1.6
2012,Alan Anderson,TOR,17.0,12.0,9.6,2.0,1.5,27.1,0.387,0.393,0.853,8.0,26.0,0.3,0.2,1.5,2.1
2012,James Anderson,SAS,51.0,2.0,3.7,1.5,0.8,11.8,0.379,0.279,0.75,16.0,63.0,0.2,0.0,0.6,0.7
2012,Ryan Anderson,ORL,61.0,61.0,16.1,7.7,0.9,32.2,0.439,0.393,0.877,224.0,247.0,0.8,0.4,0.9,2.4
