Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
1993,Alaa Abdelnaby,TOT,75.0,52.0,7.7,4.5,0.4,17.5,0.518,0.0,0.759,126.0,211.0,0.3,0.3,1.3,2.5
1993,Alaa Abdelnaby,MIL,12.0,0.0,5.3,3.1,0.8,13.2,0.464,0.0,0.75,12.0,25.0,0.5,0.3,1.1,2.0
1993,Alaa Abdelnaby,BOS,63.0,52.0,8.2,4.8,0.3,18.3,0.525,0.0,0.76,114.0,186.0,0.3,0.3,1.3,2.6
1993,Mahmoud Abdul-Rauf,DEN,81.0,81.0,19.2,2.8,4.2,33.5,0.45,0.355,0.935,51.0,174.0,1.0,0.1,2.3,2.2
1993,Mark Acres,TOT,18.0,7.0,3.6,3.7,0.3,14.9,0.531,0.5,0.688,26.0,41.0,0.2,0.3,0.7,1.9
1993,Mark Acres,HOU,6.0,0.0,1.0,1.0,0.0,3.8,0.222,0.5,0.5,2.0,4.0,0.0,0.0,0.3,0.3
1993,Mark Acres,WSB,12.0,7.0,4.8,5.1,0.4,20.5,0.6,0.0,0.714,24.0,37.0,0.2,0.5,0.9,2.7
1993,Michael Adams,WSB,70.0,70.0,14.8,3.4,7.5,35.7,0.439,0.321,0.856,52.0,188.0,1.4,0.1,2.5,2.1
1993,Rafael Addison,NJN,68.0,15.0,6.3,1.9,0.8,17.1,0.443,0.206,0.814,45.0,87.0,0.3,0.2,0.9,1.8
1993,Mark Aguirre,DET,51.0,15.0,9.9,3.0,2.1,20.7,0.443,0.361,0.767,43.0,109.0,0.3,0.1,1.3,2.0
1993,Danny Ainge,PHO,80.0,0.0,11.8,2.7,3.2,27.0,0.462,0.403,0.848,49.0,165.0,0.9,0.1,1.4,2.2
1993,Victor Alexander,GSW,72.0,59.0,11.2,5.8,1.3,24.3,0.516,0.455,0.685,132.0,288.0,0.5,0.7,1.7,3.0
1993,Eric Anderson,NYK,16.0,0.0,1.3,0.9,0.2,2.8,0.278,0.0,0.846,6.0,8.0,0.2,0.1,0.3,0.9
1993,Kenny Anderson,NJN,55.0,55.0,16.9,4.1,8.2,36.5,0.435,0.28,0.776,51.0,175.0,1.7,0.2,2.8,2.5
1993,Nick Anderson,ORL,79.0,76.0,19.9,6.0,3.4,37.0,0.449,0.353,0.741,122.0,355.0,1.6,0.7,2.1,2.5
1993,Ron Anderson,PHI,69.0,0.0,8.1,2.7,1.3,18.3,0.414,0.325,0.809,62.0,122.0,0.4,0.1,0.9,1.1
1993,Willie Anderson,SAS,38.0,7.0,4.8,1.5,2.1,14.7,0.43,0.125,0.786,7.0,50.0,0.4,0.2,1.2,1.4
1993,Greg Anthony,NYK,70.0,35.0,6.6,2.4,5.7,24.3,0.415,0.133,0.673,42.0,128.0,1.6,0.2,1.5,2.0
1993,B.J. Armstrong,CHI,82.0,74.0,12.3,1.8,4.0,30.4,0.499,0.453,0.861,27.0,122.0,0.8,0.1,1.0,2.1
1993,Vincent Askew,TOT,73.0,4.0,5.6,2.2,1.7,15.5,0.492,0.333,0.705,62.0,99.0,0.5,0.3,0.9,1.8
1993,Vincent Askew,SAC,9.0,0.0,3.0,1.2,0.6,8.4,0.471,0.0,0.733,7.0,4.0,0.2,0.1,0.9,1.2
1993,Vincent Askew,SEA,64.0,4.0,6.0,2.3,1.8,16.5,0.493,0.333,0.701,55.0,95.0,0.6,0.3,1.0,1.9
1993,Keith Askins,MIA,69.0,1.0,3.3,2.9,0.4,13.6,0.413,0.338,0.725,74.0,124.0,0.4,0.4,0.5,2.0
