Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
1990,Mark Acres,ORL,80.0,50.0,4.5,5.4,0.8,21.1,0.484,0.75,0.692,154.0,277.0,0.4,0.3,0.9,3.1
1990,Michael Adams,DEN,79.0,74.0,15.5,2.8,6.3,34.1,0.402,0.366,0.85,49.0,176.0,1.5,0.0,1.8,1.7
1990,Mark Aguirre,DET,78.0,40.0,14.1,3.9,1.9,25.7,0.488,0.333,0.756,117.0,188.0,0.4,0.2,1.6,2.6
1990,Danny Ainge,SAC,75.0,68.0,17.9,4.3,6.0,36.4,0.438,0.374,0.831,69.0,257.0,1.5,0.2,2.5,3.2
1990,Mark Alarie,WSB,82.0,10.0,10.5,4.6,1.7,23.1,0.473,0.204,0.812,151.0,223.0,0.7,0.5,1.2,2.7
1990,Steve Alford,DAL,41.0,0.0,4.1,0.6,1.0,7.4,0.457,0.318,0.946,2.0,23.0,0.4,0.1,0.4,0.5
1990,Randy Allen,SAC,63.0,6.0,3.7,2.2,0.4,11.8,0.444,0.0,0.535,49.0,89.0,0.3,0.3,0.4,1.6
1990,Greg Anderson,MIL,60.0,28.0,8.8,6.2,0.4,21.5,0.507,0.0,0.535,112.0,261.0,0.5,0.9,1.3,2.9
1990,Nick Anderson,ORL,81.0,9.0,11.5,3.9,1.5,22.0,0.494,0.059,0.705,107.0,209.0,0.9,0.4,1.7,1.7
1990,Richard Anderson,CHH,54.0,2.0,4.3,2.4,1.0,11.2,0.417,0.37,0.783,33.0,94.0,0.4,0.2,0.5,1.2
1990,Ron Anderson,PHI,78.0,3.0,11.9,3.8,1.8,26.8,0.451,0.143,0.838,81.0,214.0,0.9,0.2,1.0,1.8
1990,Willie Anderson,SAS,82.0,81.0,15.7,4.5,4.4,34.0,0.492,0.269,0.748,115.0,257.0,1.4,0.7,2.4,3.1
1990,Michael Ansley,ORL,72.0,5.0,8.7,5.0,0.6,17.0,0.497,0.0,0.722,187.0,175.0,0.3,0.2,0.7,2.1
1990,B.J. Armstrong,CHI,81.0,0.0,5.6,1.3,2.5,15.9,0.485,0.5,0.885,19.0,83.0,0.6,0.1,1.0,1.3
1990,John Bagley,BOS,54.0,17.0,4.3,1.6,5.5,20.3,0.459,0.056,0.744,26.0,63.0,0.7,0.1,1.7,1.4
1990,Thurl Bailey,UTA,82.0,33.0,14.2,5.0,1.7,31.5,0.481,0.0,0.779,116.0,294.0,0.4,1.2,1.7,2.1
1990,Ken Bannister,LAC,52.0,1.0,4.0,2.2,0.3,11.3,0.478,0.0,0.473,39.0,73.0,0.3,0.1,0.8,1.8
1990,Charles Barkley,PHI,79.0,79.0,25.2,11.5,3.9,39.1,0.6,0.217,0.749,361.0,548.0,1.9,0.6,3.1,3.2
1990,Dana Barros,SEA,81.0,25.0,9.7,1.6,2.5,20.1,0.405,0.399,0.809,35.0,97.0,0.7,0.0,1.5,1.2
1990,John Battle,ATL,60.0,48.0,10.9,1.6,2.6,24.6,0.506,0.154,0.756,27.0,72.0,0.5,0.0,1.5,1.9
1990,Kenny Battle,PHO,59.0,8.0,4.1,2.1,0.6,12.4,0.547,0.25,0.671,44.0,80.0,0.6,0.2,0.5,1.6
1990,William Bedford,DET,42.0,0.0,2.8,1.4,0.1,5.9,0.432,0.167,0.409,15.0,43.0,0.1,0.4,0.5,0.9
1990,Benoit Benjamin,LAC,71.0,58.0,13.5,9.3,2.2,32.6,0.526,0.0,0.732,156.0,501.0,0.8,2.6,2.6,3.1
1990,Winston Bennett,CLE,55.0,34.0,6.1,3.4,1.0,18.0,0.479,0.0,0.667,84.0,104.0,0.4,0.2,1.1,2.4
1990,Larry Bird,BOS,75.0,75.0,24.3,9.5,7.5,39.3,0.473,0.333,0.93,90.0,622.0,1.4,0.8,3.2,2.3
1990,Uwe Blab,TOT,47.0,33.0,2.1,2.3,0.5,11.3,0.398,0.0,0.541,29.0,79.0,0.0,0.5,0.7,2.2
1990,Uwe Blab,GSW,40.0,33.0,2.1,2.5,0.6,12.0,0.379,0.0,0.548,28.0,71.0,0.0,0.6,0.8,2.3
1990,Uwe Blab,SAS,7.0,0.0,2.1,1.3,0.1,7.1,0.545,0.0,0.5,1.0,8.0,0.0,0.0,0.7,1.3
1990,Rolando Blackman,DAL,80.0,80.0,19.4,3.5,3.6,36.7,0.498,0.302,0.844,88.0,192.0,1.0,0.3,2.2,1.6
1990,Mookie Blaylock,NJN,50.0,17.0,10.1,2.8,4.2,25.3,0.371,0.225,0.778,42.0,98.0,1.6,0.3,2.2,2.2
1990,Muggsy Bogues,CHH,81.0,65.0,9.4,2.6,10.7,33.9,0.491,0.192,0.791,48.0,159.0,2.0,0.0,1.8,2.1
1990,Manute Bol,GSW,75.0,20.0,1.9,3.7,0.5,17.5,0.331,0.188,0.51,33.0,243.0,0.2,3.2,0.7,2.6
1990,Anthony Bowie,HOU,66.0,0.0,4.3,1.8,1.5,13.9,0.406,0.286,0.741,36.0,82.0,0.6,0.1,0.9,1.2
1990,Sam Bowie,NJN,68.0,54.0,14.7,10.1,1.3,32.5,0.416,0.323,0.776,206.0,484.0,0.6,1.8,1.8,3.1
1990,Adrian Branch,MIN,11.0,0.0,5.9,1.8,0.4,8.3,0.41,1.0,0.636,8.0,12.0,0.5,0.0,0.7,1.3
1990,Randy Breuer,TOT,81.0,55.0,8.9,5.1,1.2,23.2,0.428,0.0,0.653,154.0,263.0,0.5,1.3,1.2,2.4
1990,Randy Breuer,MIL,30.0,8.0,6.8,4.2,0.4,18.5,0.462,0.0,0.627,43.0,84.0,0.3,1.1,0.9,2.1
1990,Randy Breuer,MIN,51.0,47.0,10.2,5.7,1.6,26.0,0.416,0.0,0.662,111.0,179.0,0.6,1.5,1.3,2.6
1990,Frank Brickowski,SAS,78.0,12.0,6.6,4.2,1.3,18.4,0.545,0.0,0.674,89.0,238.0,0.8,0.5,1.2,2.9
1990,Scott Brooks,PHI,72.0,1.0,4.4,0.9,2.9,13.5,0.431,0.392,0.877,15.0,49.0,0.7,0.0,0.5,1.5
1990,Chucky Brown,CLE,75.0,35.0,7.3,3.1,0.7,17.9,0.47,0.0,0.762,83.0,148.0,0.4,0.3,0.9,2.0
1990,Mike Brown,UTA,82.0,0.0,6.2,4.5,0.6,17.0,0.515,0.5,0.789,111.0,262.0,0.4,0.3,1.1,2.3
1990,Raymond Brown,UTA,16.0,0.0,1.0,0.9,0.2,3.5,0.286,0.0,0.0,10.0,5.0,0.0,0.0,0.4,0.7
1990,Tony Brown,MIL,61.0,10.0,3.6,1.2,0.7,10.4,0.427,0.25,0.679,39.0,33.0,0.5,0.1,0.8,1.3
1990,Stanley Brundy,NJN,16.0,0.0,2.3,1.6,0.2,8.0,0.5,0.0,0.389,15.0,11.0,0.4,0.3,0.4,1.5
1990,Mark Bryant,POR,58.0,0.0,2.9,2.5,0.2,9.7,0.458,0.0,0.56,54.0,92.0,0.3,0.2,0.4,1.6
1990,Torgeir Bryn,LAC,3.0,0.0,1.3,0.7,0.0,3.3,0.0,0.0,0.667,0.0,2.0,0.7,0.3,0.3,1.7
1990,Steve Bucknall,LAL,18.0,0.0,1.3,0.4,0.6,4.2,0.273,0.0,0.833,5.0,2.0,0.1,0.1,0.6,0.6
1990,Greg Butler,NYK,13.0,0.0,0.5,0.7,0.1,2.5,0.25,0.0,0.0,3.0,6.0,0.0,0.0,0.2,0.6
1990,Michael Cage,SEA,82.0,82.0,9.7,10.0,0.9,31.6,0.504,0.0,0.698,306.0,515.0,1.0,0.5,1.1,2.8
1990,Adrian Caldwell,HOU,51.0,0.0,1.9,2.1,0.1,6.5,0.553,0.0,0.464,36.0,73.0,0.2,0.4,0.6,1.4
1990,Tony Campbell,MIN,82.0,81.0,23.2,5.5,2.6,38.6,0.457,0.167,0.787,209.0,242.0,1.4,0.4,3.1,3.2
1990,Rick Carlisle,NJN,5.0,0.0,0.4,0.0,1.0,4.2,0.143,0.0,0.0,0.0,0.0,0.2,0.2,0.8,1.4
1990,Antoine Carr,TOT,77.0,4.0,12.3,4.2,1.5,22.4,0.494,0.0,0.795,115.0,207.0,0.4,0.9,1.6,3.2
1990,Antoine Carr,ATL,44.0,0.0,7.6,3.4,1.2,18.2,0.516,0.0,0.775,50.0,99.0,0.3,0.8,1.2,2.9
1990,Antoine Carr,SAC,33.0,4.0,18.6,5.2,2.0,28.0,0.482,0.0,0.806,65.0,108.0,0.5,1.0,2.2,3.6
1990,Joe Barry,TOT,76.0,47.0,10.0,5.8,1.3,22.6,0.411,0.0,0.774,133.0,310.0,0.6,1.5,1.9,2.5
1990,Joe Barry,NJN,46.0,20.0,8.8,5.4,0.9,21.8,0.393,0.0,0.794,82.0,168.0,0.4,1.2,1.4,2.7
1990,Joe Barry,DEN,30.0,27.0,11.9,6.4,1.8,24.0,0.432,0.0,0.743,51.0,142.0,0.9,2.0,2.6,2.3
