Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2015,Quincy Acy,NYK,68.0,22.0,5.9,4.4,1.0,18.9,0.459,0.3,0.784,79.0,222.0,0.4,0.3,0.9,2.2
2015,Jordan Adams,MEM,30.0,0.0,3.1,0.9,0.5,8.3,0.407,0.4,0.609,9.0,19.0,0.5,0.2,0.5,0.8
2015,Steven Adams,OKC,70.0,67.0,7.7,7.5,0.9,25.3,0.544,0.0,0.502,199.0,324.0,0.5,1.2,1.4,3.2
2015,Jeff Adrien,MIN,17.0,0.0,3.5,4.5,0.9,12.6,0.432,0.0,0.579,23.0,54.0,0.2,0.5,0.5,1.8
2015,Arron Afflalo,TOT,78.0,72.0,13.3,3.2,1.7,32.1,0.424,0.354,0.843,27.0,220.0,0.5,0.1,1.5,2.1
2015,Arron Afflalo,DEN,53.0,53.0,14.5,3.4,1.9,33.0,0.428,0.337,0.841,21.0,159.0,0.6,0.1,1.6,2.0
2015,Arron Afflalo,POR,25.0,19.0,10.6,2.7,1.1,30.1,0.414,0.4,0.851,6.0,61.0,0.4,0.1,1.3,2.4
2015,Alexis Ajinca,NOP,68.0,8.0,6.5,4.6,0.7,14.1,0.55,0.0,0.818,104.0,211.0,0.3,0.8,1.0,2.2
2015,Furkan Aldemir,PHI,41.0,9.0,2.3,4.3,0.7,13.2,0.513,0.0,0.481,78.0,98.0,0.4,0.4,0.4,2.3
2015,Cole Aldrich,NYK,61.0,16.0,5.5,5.5,1.2,16.0,0.478,0.0,0.781,101.0,237.0,0.6,1.1,1.0,2.0
2015,LaMarcus Aldridge,POR,71.0,71.0,23.4,10.2,1.7,35.4,0.466,0.352,0.845,177.0,549.0,0.7,1.0,1.7,1.8
2015,Lavoy Allen,IND,63.0,0.0,5.0,5.1,1.2,17.0,0.472,0.0,0.702,123.0,200.0,0.2,0.7,0.6,1.6
2015,Tony Allen,MEM,63.0,41.0,8.6,4.4,1.4,26.2,0.495,0.345,0.627,103.0,177.0,2.0,0.5,1.4,2.6
